Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = do, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "old2.jags", 
    parEstFile = "oldratings2.txt", posteriorFile = "oldratingsmod2.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
rho[pn_B,q2_B]  0.049 0.385 -0.680  0.059 0.744          0.017   484 1.010 1.029
rho[pn_B,r1]    0.148 0.397 -0.660  0.181 0.815          0.021   366 1.023 1.068
rho[pn_B,r2]    0.034 0.383 -0.687  0.036 0.741          0.017   480 1.004 1.012
rho[pn_B,r5]    0.063 0.374 -0.653  0.069 0.752          0.015   637 1.006 1.020
rho[pn_B,r6]    0.075 0.396 -0.688  0.093 0.764          0.021   351 1.030 1.087
rho[po_A,po_B] -0.125 0.337 -0.704 -0.144 0.580          0.014   596 1.013 1.038
rho[po_A,q1_A]  0.077 0.405 -0.720  0.104 0.764          0.020   391 1.002 1.007
rho[po_A,q1_B]  0.160 0.419 -0.710  0.221 0.807          0.024   318 1.012 1.031
rho[po_A,q2_A] -0.004 0.389 -0.735 -0.004 0.713          0.017   498 1.014 1.039
rho[po_A,q2_B]  0.160 0.401 -0.653  0.203 0.815          0.021   380 1.022 1.066
rho[po_A,r1]    0.173 0.415 -0.676  0.219 0.846          0.022   351 1.014 1.040
rho[po_A,r2]    0.100 0.399 -0.685  0.127 0.775          0.018   503 1.015 1.043
rho[po_A,r5]    0.027 0.393 -0.707  0.030 0.738          0.016   574 1.022 1.064
rho[po_A,r6]    0.130 0.404 -0.694  0.165 0.800          0.022   348 1.016 1.046
rho[po_B,q1_A] -0.163 0.309 -0.694 -0.181 0.477          0.011   738 1.015 1.045
rho[po_B,q1_B] -0.151 0.261 -0.633 -0.160 0.371          0.007  1270 1.001 1.002
rho[po_B,q2_A] -0.091 0.336 -0.690 -0.102 0.574          0.014   586 1.008 1.018
rho[po_B,q2_B] -0.327 0.283 -0.774 -0.360 0.304          0.011   691 1.009 1.024
rho[po_B,r1]   -0.178 0.247 -0.624 -0.188 0.333          0.006  1690 1.005 1.016
rho[po_B,r2]   -0.072 0.313 -0.634 -0.083 0.549          0.011   819 1.013 1.040
rho[po_B,r5]    0.012 0.351 -0.623  0.002 0.680          0.014   585 1.002 1.007
rho[po_B,r6]   -0.001 0.277 -0.526 -0.003 0.532          0.009  1045 1.002 1.005
rho[q1_A,q1_B]  0.363 0.364 -0.522  0.428 0.885          0.018   413 1.011 1.030
rho[q1_A,q2_A]  0.065 0.401 -0.687  0.073 0.778          0.020   394 1.005 1.015
rho[q1_A,q2_B]  0.259 0.373 -0.565  0.310 0.830          0.017   470 1.007 1.016
rho[q1_A,r1]    0.363 0.368 -0.552  0.431 0.880          0.021   315 1.013 1.039
rho[q1_A,r2]    0.242 0.381 -0.580  0.287 0.838          0.018   458 1.017 1.050
rho[q1_A,r5]    0.088 0.404 -0.689  0.106 0.783          0.020   425 1.005 1.015
rho[q1_A,r6]    0.337 0.363 -0.527  0.402 0.857          0.019   356 1.021 1.060
rho[q1_B,q2_A]  0.086 0.415 -0.722  0.113 0.794          0.023   338 1.003 1.008
rho[q1_B,q2_B]  0.369 0.328 -0.400  0.422 0.849          0.015   509 1.023 1.052
rho[q1_B,r1]    0.578 0.220  0.058  0.614 0.902          0.008   792 1.004 1.009
rho[q1_B,r2]    0.385 0.343 -0.470  0.455 0.852          0.017   385 1.022 1.062
rho[q1_B,r5]    0.122 0.425 -0.706  0.154 0.819          0.026   276 1.009 1.025
rho[q1_B,r6]    0.544 0.236 -0.004  0.581 0.899          0.009   623 1.007 1.020
rho[q2_A,q2_B]  0.083 0.402 -0.705  0.105 0.778          0.022   348 1.008 1.022
rho[q2_A,r1]    0.118 0.429 -0.752  0.162 0.799          0.025   290 1.002 1.005
rho[q2_A,r2]    0.042 0.408 -0.733  0.060 0.745          0.021   394 1.002 1.003
rho[q2_A,r5]    0.017 0.375 -0.672  0.015 0.703          0.015   637 1.011 1.035
rho[q2_A,r6]    0.072 0.419 -0.712  0.095 0.775          0.023   338 1.001 1.003
rho[q2_B,r1]    0.424 0.316 -0.316  0.475 0.887          0.014   481 1.011 1.021
rho[q2_B,r2]    0.254 0.385 -0.584  0.309 0.838          0.020   359 1.008 1.023
rho[q2_B,r5]    0.043 0.421 -0.755  0.052 0.790          0.024   301 1.009 1.023
rho[q2_B,r6]    0.344 0.340 -0.428  0.395 0.847          0.018   352 1.008 1.022
rho[r1,r2]      0.421 0.346 -0.456  0.498 0.880          0.019   340 1.025 1.068
rho[r1,r5]      0.140 0.434 -0.723  0.169 0.840          0.028   244 1.013 1.037
rho[r1,r6]      0.592 0.210  0.095  0.627 0.900          0.008   712 1.000 1.001
rho[r2,r5]      0.091 0.406 -0.705  0.112 0.786          0.020   429 1.010 1.027
rho[r2,r6]      0.403 0.340 -0.443  0.475 0.861          0.018   361 1.015 1.040
rho[r5,r6]      0.160 0.418 -0.681  0.199 0.821          0.025   273 1.020 1.058

Correlations (posterior mean estimates) in matrix form:
        b_A   b_B   pn_A   pn_B   po_A   po_B   q1_A   q1_B   q2_A   q2_B     r1
b_A   1.000 0.017  0.029  0.007 -0.053  0.035  0.044  0.086 -0.009  0.023  0.072
b_B   0.017 1.000  0.037  0.065  0.007  0.032  0.032  0.059  0.042  0.056  0.057
pn_A  0.029 0.037  1.000  0.047  0.005 -0.060  0.066  0.101 -0.010  0.100  0.089
pn_B  0.007 0.065  0.047  1.000  0.016 -0.115  0.084  0.114  0.076  0.049  0.148
po_A -0.053 0.007  0.005  0.016  1.000 -0.125  0.077  0.160 -0.004  0.160  0.173
po_B  0.035 0.032 -0.060 -0.115 -0.125  1.000 -0.163 -0.151 -0.091 -0.327 -0.178
q1_A  0.044 0.032  0.066  0.084  0.077 -0.163  1.000  0.363  0.065  0.259  0.363
q1_B  0.086 0.059  0.101  0.114  0.160 -0.151  0.363  1.000  0.086  0.369  0.578
q2_A -0.009 0.042 -0.010  0.076 -0.004 -0.091  0.065  0.086  1.000  0.083  0.118
q2_B  0.023 0.056  0.100  0.049  0.160 -0.327  0.259  0.369  0.083  1.000  0.424
r1    0.072 0.057  0.089  0.148  0.173 -0.178  0.363  0.578  0.118  0.424  1.000
r2    0.041 0.026  0.042  0.034  0.100 -0.072  0.242  0.385  0.042  0.254  0.421
r5    0.017 0.037  0.017  0.063  0.027  0.012  0.088  0.122  0.017  0.043  0.140
r6    0.106 0.133  0.085  0.075  0.130 -0.001  0.337  0.544  0.072  0.344  0.592
         r2    r5     r6
b_A   0.041 0.017  0.106
b_B   0.026 0.037  0.133
pn_A  0.042 0.017  0.085
pn_B  0.034 0.063  0.075
po_A  0.100 0.027  0.130
po_B -0.072 0.012 -0.001
q1_A  0.242 0.088  0.337
q1_B  0.385 0.122  0.544
q2_A  0.042 0.017  0.072
q2_B  0.254 0.043  0.344
r1    0.421 0.140  0.592
r2    1.000 0.091  0.403
r5    0.091 1.000  0.160
r6    0.403 0.160  1.000


##############
 Model fit statistics (posterior predictive p-values):
Use PPP(fittedModel) to get T1 and T2 posterior predictive checks.


#################################
#### Individual Parameter Estimates
Parameter  b_A 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.4222294 0.04119120 0.3326728 0.4248205 0.4964956   0.0007370865  3123
  2  0.4230454 0.04107459 0.3348755 0.4249075 0.4985342   0.0006800577  3648
  3  0.4335198 0.04257879 0.3495941 0.4335115 0.5189804   0.0009012519  2232
  4  0.4214180 0.04191299 0.3296195 0.4237015 0.4972727   0.0008569748  2392
  5  0.4391834 0.04369381 0.3594118 0.4369640 0.5348164   0.0008503896  2640
  6  0.4192477 0.04235867 0.3282335 0.4214320 0.4959555   0.0009057700  2187
  7  0.4377199 0.04320793 0.3583688 0.4357695 0.5324511   0.0008433324  2625
  8  0.4368187 0.04220308 0.3558719 0.4355925 0.5275065   0.0008428823  2507
  9  0.4191407 0.04229893 0.3253634 0.4218750 0.4944155   0.0007868292  2890
  10 0.4342531 0.04146537 0.3541013 0.4336785 0.5197276   0.0008014221  2677
  11 0.4386928 0.04143309 0.3609678 0.4370365 0.5279937   0.0007672794  2916
  12 0.4256927 0.04232353 0.3372897 0.4268255 0.5060587   0.0009031621  2196
  13 0.4239314 0.04261448 0.3323577 0.4261035 0.5021031   0.0008785090  2353
  14 0.4279131 0.04103705 0.3443336 0.4284130 0.5087957   0.0007378808  3093
  15 0.4322829 0.04080947 0.3525317 0.4322120 0.5153867   0.0007276970  3145
  16 0.4178812 0.04828410 0.3125001 0.4206945 0.5069771   0.0012927575  1395
  17 0.4327298 0.04528494 0.3424265 0.4326970 0.5236447   0.0010284066  1939
  18 0.4246187 0.04335463 0.3321274 0.4264350 0.5057612   0.0009894295  1920
  19 0.4313233 0.04170439 0.3486859 0.4314950 0.5153619   0.0007691447  2940
  20 0.4388501 0.04337164 0.3581923 0.4368985 0.5337422   0.0010078256  1852
  21 0.4289534 0.04270686 0.3425612 0.4295455 0.5128162   0.0008897263  2304
  22 0.4328694 0.04335527 0.3470557 0.4325610 0.5226281   0.0009383027  2135
  23 0.4300332 0.04681773 0.3338640 0.4302860 0.5245000   0.0011230149  1738
  24 0.4312717 0.03981259 0.3507753 0.4311055 0.5101282   0.0006691429  3540
    Statistic
ID       Rhat    R_95%
  1  1.001512 1.004367
  2  1.003539 1.010357
  3  1.002801 1.007423
  4  1.000341 1.000488
  5  1.003011 1.007759
  6  1.012454 1.037351
  7  1.003835 1.011061
  8  1.000579 1.000924
  9  1.003547 1.009722
  10 1.001089 1.002553
  11 1.000830 1.001912
  12 1.006810 1.020733
  13 1.001216 1.003034
  14 1.001963 1.004756
  15 1.001290 1.003219
  16 1.009269 1.027743
  17 1.001480 1.003971
  18 1.001708 1.004146
  19 1.003294 1.010180
  20 1.000812 1.002566
  21 1.000591 1.001812
  22 1.004938 1.014942
  23 1.006169 1.018987
  24 1.000317 1.000686
Parameter  b_B 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.4096349 0.10192789 0.1892403 0.4139160 0.6078598    0.003029492  1132
  2  0.4434437 0.09101954 0.2743839 0.4398865 0.6442615    0.002308179  1555
  3  0.4502295 0.10928862 0.2549248 0.4415045 0.7167397    0.003265622  1120
  4  0.4281321 0.07796561 0.2713010 0.4292830 0.5828481    0.001792905  1891
  5  0.4038998 0.10150258 0.1810534 0.4096160 0.5995204    0.003599925   795
  6  0.4301124 0.10923606 0.2177276 0.4267260 0.6757032    0.003720595   862
  7  0.4064821 0.09319335 0.1963412 0.4128775 0.5783825    0.002499640  1390
  8  0.4523893 0.11225182 0.2555493 0.4422335 0.7266437    0.003412556  1082
  9  0.3985781 0.10141704 0.1703435 0.4058705 0.5844639    0.003087452  1079
  10 0.4494741 0.10056548 0.2593725 0.4441415 0.6744026    0.002816397  1275
  11 0.4383988 0.09610423 0.2548927 0.4353020 0.6525947    0.002376024  1636
  12 0.4375608 0.11016495 0.2395886 0.4303600 0.6971606    0.003593184   940
  13 0.4180237 0.08251505 0.2387533 0.4229525 0.5695736    0.002105414  1536
  14 0.4288934 0.08541502 0.2528435 0.4307400 0.5987763    0.002340357  1332
  15 0.4284385 0.10229130 0.2176343 0.4277525 0.6502559    0.002778875  1355
  16 0.4062318 0.12627432 0.1552030 0.4074380 0.6865477    0.004995335   639
  17 0.4241327 0.07839241 0.2633581 0.4252815 0.5765010    0.001735212  2041
  18 0.4015689 0.08406642 0.2193785 0.4067060 0.5539343    0.002386364  1241
  19 0.4563024 0.11313640 0.2685817 0.4436295 0.7480045    0.003601171   987
  20 0.4565486 0.11021258 0.2702881 0.4449370 0.7369852    0.003347469  1084
  21 0.4360777 0.07852381 0.2789655 0.4364850 0.5938482    0.001840626  1820
  22 0.4574575 0.11430958 0.2675082 0.4444435 0.7409685    0.003925407   848
  23 0.3974896 0.08383624 0.2099338 0.4048235 0.5421054    0.002137039  1539
  24 0.4303911 0.08846880 0.2528312 0.4300675 0.6158042    0.002200063  1617
    Statistic
ID       Rhat    R_95%
  1  1.013430 1.034786
  2  1.002429 1.003918
  3  1.004504 1.006931
  4  1.001828 1.004510
  5  1.032612 1.090261
  6  1.013315 1.037640
  7  1.009810 1.022623
  8  1.004103 1.005908
  9  1.018681 1.047766
  10 1.008860 1.018179
  11 1.006214 1.013373
  12 1.008622 1.020641
  13 1.006492 1.010350
  14 1.000988 1.002576
  15 1.005951 1.009429
  16 1.028700 1.081870
  17 1.001554 1.003907
  18 1.004170 1.012140
  19 1.002377 1.005043
  20 1.042012 1.084751
  21 1.002478 1.004718
  22 1.006357 1.013461
  23 1.007421 1.020358
  24 1.002023 1.002522
Parameter  pn_A 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.6159255 0.06326994 0.4882632 0.6164270 0.7424978    0.001135446  3105
  2  0.6308841 0.06533492 0.5102129 0.6278770 0.7783767    0.001128142  3354
  3  0.6221607 0.06565414 0.4917863 0.6220660 0.7570286    0.001369579  2298
  4  0.6103645 0.06397478 0.4712535 0.6135000 0.7288817    0.001251763  2612
  5  0.5969338 0.06621074 0.4469595 0.6030575 0.7096193    0.001324215  2500
  6  0.5938573 0.07046151 0.4333270 0.6002190 0.7143945    0.001631596  1865
  7  0.6061983 0.06426540 0.4664879 0.6094710 0.7261508    0.001213852  2803
  8  0.5978993 0.06879126 0.4385781 0.6041830 0.7168751    0.001493698  2121
  9  0.6175310 0.06540694 0.4864276 0.6176950 0.7499878    0.001212905  2908
  10 0.6093868 0.06281623 0.4744049 0.6124050 0.7253810    0.001158112  2942
  11 0.6061500 0.06285306 0.4698540 0.6095650 0.7223842    0.001142972  3024
  12 0.6042973 0.06818284 0.4562319 0.6081965 0.7311698    0.001613371  1786
  13 0.6201907 0.06499394 0.4875273 0.6205015 0.7511268    0.001237363  2759
  14 0.6049847 0.06482385 0.4641564 0.6087875 0.7242611    0.001317460  2421
  15 0.6114481 0.06299845 0.4780593 0.6137260 0.7324234    0.001123183  3146
  16 0.5900503 0.07906015 0.4034620 0.5980495 0.7278281    0.002181021  1314
  17 0.6119891 0.06734522 0.4666244 0.6151900 0.7367033    0.001691579  1585
  18 0.5995990 0.06918991 0.4421689 0.6049555 0.7203648    0.001646446  1766
  19 0.5985824 0.06700222 0.4500937 0.6035455 0.7166458    0.001337372  2510
  20 0.6265922 0.06682965 0.4948058 0.6255450 0.7670188    0.001488415  2016
  21 0.6184260 0.06637422 0.4820432 0.6189965 0.7519163    0.001442577  2117
  22 0.5945824 0.07302766 0.4233570 0.6018465 0.7187166    0.001735804  1770
  23 0.6252640 0.06948285 0.4858151 0.6242100 0.7692600    0.001862336  1392
  24 0.6072103 0.06218207 0.4729666 0.6105875 0.7205664    0.001085085  3284
    Statistic
ID       Rhat    R_95%
  1  1.001664 1.003316
  2  1.000909 1.002519
  3  1.004214 1.012385
  4  1.002646 1.007804
  5  1.003220 1.008328
  6  1.005633 1.016048
  7  1.002018 1.004213
  8  1.002245 1.006540
  9  1.002322 1.006923
  10 1.003124 1.007180
  11 1.002897 1.007576
  12 1.003235 1.006741
  13 1.002661 1.007364
  14 1.004197 1.011623
  15 1.002988 1.007564
  16 1.015527 1.040059
  17 1.000619 1.001802
  18 1.007881 1.022997
  19 1.003522 1.010105
  20 1.003454 1.009356
  21 1.002230 1.005320
  22 1.005074 1.012717
  23 1.005198 1.015866
  24 1.000279 1.000669
Parameter  pn_B 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff
  1  0.7896648 0.08050946 0.6130528 0.7935645 0.9417116    0.002026718  1578
  2  0.7540667 0.08140509 0.5522751 0.7674805 0.8765623    0.001687175  2328
  3  0.7808644 0.07564300 0.6040807 0.7889460 0.9074335    0.001781439  1803
  4  0.7760997 0.07633774 0.5957158 0.7851725 0.9045215    0.001771468  1857
  5  0.7709321 0.08324067 0.5708864 0.7804580 0.9105526    0.002160820  1484
  6  0.7534972 0.09034601 0.5311602 0.7677285 0.8936903    0.002543193  1262
  7  0.7951775 0.08115292 0.6164745 0.7989940 0.9478273    0.002161198  1410
  8  0.7788631 0.07297173 0.6119912 0.7863445 0.9052767    0.001558599  2192
  9  0.7961678 0.07621075 0.6348419 0.7983025 0.9424100    0.002029582  1410
  10 0.8007482 0.07163442 0.6451746 0.8044975 0.9327980    0.001617232  1962
  11 0.7760643 0.07591678 0.5969703 0.7852465 0.9008276    0.001663386  2083
  12 0.7382163 0.09321537 0.5063454 0.7544990 0.8756188    0.002502032  1388
  13 0.8176352 0.07427959 0.6681858 0.8162440 0.9612750    0.001850065  1612
  14 0.7773328 0.07395502 0.6052651 0.7852685 0.9043608    0.001772936  1740
  15 0.8117837 0.07261530 0.6635356 0.8118050 0.9540828    0.001856446  1530
  16 0.7611849 0.09958776 0.5202339 0.7750965 0.9227283    0.003374402   871
  17 0.7556862 0.08576056 0.5462918 0.7703425 0.8817731    0.002450302  1225
  18 0.7589181 0.08871404 0.5378086 0.7728180 0.8952244    0.002375228  1395
  19 0.7323960 0.09339912 0.4966788 0.7506240 0.8651862    0.002134872  1914
  20 0.7868800 0.07295660 0.6217698 0.7934620 0.9134825    0.001778900  1682
  21 0.7567015 0.08129570 0.5558829 0.7703915 0.8776890    0.001777406  2092
  22 0.7337092 0.09028111 0.5131619 0.7495835 0.8670382    0.002261272  1594
  23 0.8219653 0.07674116 0.6624431 0.8220885 0.9652525    0.002052460  1398
  24 0.7779767 0.07091704 0.6176084 0.7849405 0.8990237    0.001482271  2289
    Statistic
ID       Rhat    R_95%
  1  1.007090 1.019541
  2  1.001387 1.003608
  3  1.000974 1.002971
  4  1.004003 1.011255
  5  1.014723 1.039575
  6  1.008860 1.024811
  7  1.005790 1.015898
  8  1.001625 1.004246
  9  1.010360 1.031119
  10 1.001798 1.005602
  11 1.002955 1.008564
  12 1.011071 1.032320
  13 1.000946 1.003133
  14 1.001476 1.003446
  15 1.001086 1.003268
  16 1.027688 1.074877
  17 1.005331 1.011794
  18 1.007367 1.020812
  19 1.004528 1.011642
  20 1.006954 1.020114
  21 1.004631 1.010848
  22 1.008479 1.022522
  23 1.003758 1.010155
  24 1.002465 1.006590
Parameter  po_A 
    Statistic
ID         Mean         SD         2.5%        50%     97.5% Time-series SE n.eff
  1  0.06120076 0.04790036 4.762779e-04 0.05320580 0.1738223   0.0008852241  2928
  2  0.06348220 0.04711777 7.971198e-04 0.05670690 0.1707624   0.0007775590  3672
  3  0.06531423 0.04765872 7.598565e-04 0.05888215 0.1746040   0.0008632467  3048
  4  0.06133648 0.04553342 7.257843e-04 0.05440550 0.1651516   0.0008535182  2846
  5  0.06919522 0.05882618 5.429128e-04 0.05840085 0.2154680   0.0012015356  2397
  6  0.05372094 0.04457996 1.423319e-04 0.04544825 0.1561270   0.0010724272  1728
  7  0.07383530 0.06267219 7.492901e-04 0.06177290 0.2348454   0.0012986441  2329
  8  0.05661417 0.04469812 4.075166e-04 0.04887555 0.1595089   0.0008212904  2962
