"","Subj","Age","Test","Probe","Accuracy","Rating"
"113",101,0,1,1,0,6
"114",101,0,1,1,0,6
"115",101,0,1,1,0,6
"116",101,0,1,1,0,6
"117",101,0,1,1,0,6
"118",101,0,1,1,0,6
"119",101,0,1,1,0,6
"120",101,0,1,1,0,6
"121",102,0,0,0,1,1
"122",102,0,0,0,1,1
"123",102,0,0,0,1,1
"124",102,0,0,0,1,1
"125",102,0,0,0,1,1
"126",102,0,0,0,1,1
"127",102,0,0,0,1,1
"128",102,0,0,0,1,1
"129",102,0,0,0,1,1
"130",102,0,0,0,1,1
"131",102,0,0,0,1,1
"132",102,0,0,0,1,1
"133",102,0,0,0,1,1
"134",102,0,0,0,1,1
"135",102,0,0,0,1,2
"136",102,0,0,0,1,2
"137",102,0,0,0,1,2
"138",102,0,0,0,1,2
"139",102,0,0,0,1,2
"140",102,0,0,0,1,3
"141",102,0,0,0,1,3
"142",102,0,0,0,1,3
"143",102,0,0,0,0,4
"144",102,0,0,0,0,4
"145",102,0,0,0,0,5
"146",102,0,0,0,0,5
"147",102,0,0,0,0,5
"148",102,0,0,0,0,6
"149",102,0,0,0,0,6
"150",102,0,0,0,0,6
"151",102,0,0,1,0,1
"152",102,0,0,1,0,2
"153",102,0,0,1,0,2
"154",102,0,0,1,0,3
"155",102,0,0,1,0,3
"156",102,0,0,1,0,3
"157",102,0,0,1,0,3
"158",102,0,0,1,1,4
"159",102,0,0,1,1,4
"160",102,0,0,1,1,4
"161",102,0,0,1,1,4
"162",102,0,0,1,1,4
"163",102,0,0,1,1,5
"164",102,0,0,1,1,5
"165",102,0,0,1,1,5
"166",102,0,0,1,1,5
"167",102,0,0,1,1,5
"168",102,0,0,1,1,5
"169",102,0,0,1,1,5
"170",102,0,0,1,1,6
"171",102,0,0,1,1,6
"172",102,0,0,1,1,6
"173",102,0,0,1,1,6
"174",102,0,0,1,1,6
"175",102,0,0,1,1,6
"176",102,0,0,1,1,6
"177",102,0,0,1,1,6
"178",102,0,0,1,1,6
"179",102,0,0,1,1,6
"180",102,0,0,1,1,6
"181",102,0,1,0,1,1
"182",102,0,1,0,1,1
"183",102,0,1,0,1,1
"184",102,0,1,0,1,1
"185",102,0,1,0,1,1
"186",102,0,1,0,1,1
"187",102,0,1,0,1,1
"188",102,0,1,0,1,1
"189",102,0,1,0,1,2
"190",102,0,1,0,1,2
"191",102,0,1,0,1,2
"192",102,0,1,0,1,2
"193",102,0,1,0,1,2
"194",102,0,1,0,1,2
"195",102,0,1,0,1,3
"196",102,0,1,0,1,3
"197",102,0,1,0,1,3
"198",102,0,1,0,1,3
"199",102,0,1,0,0,4
"200",102,0,1,0,0,4
"201",102,0,1,0,0,4
"202",102,0,1,0,0,4
"203",102,0,1,0,0,4
"204",102,0,1,0,0,4
"205",102,0,1,0,0,5
"206",102,0,1,0,0,5
"207",102,0,1,0,0,5
"208",102,0,1,0,0,5
"209",102,0,1,0,0,5
"210",102,0,1,0,0,5
"211",102,0,1,1,0,1
"212",102,0,1,1,0,2
"213",102,0,1,1,0,2
"214",102,0,1,1,0,2
"215",102,0,1,1,0,2
"216",102,0,1,1,0,2
"217",102,0,1,1,0,2
"218",102,0,1,1,0,2
"219",102,0,1,1,0,3
"220",102,0,1,1,0,3
"221",102,0,1,1,0,3
"222",102,0,1,1,0,3
"223",102,0,1,1,0,3
"224",102,0,1,1,1,4
"225",102,0,1,1,1,4
"226",102,0,1,1,1,4
"227",102,0,1,1,1,4
"228",102,0,1,1,1,4
"229",102,0,1,1,1,5
"230",102,0,1,1,1,5
"231",102,0,1,1,1,5
"232",102,0,1,1,1,5
"233",102,0,1,1,1,5
"234",102,0,1,1,1,6
"235",102,0,1,1,1,6
"236",102,0,1,1,1,6
"237",102,0,1,1,1,6
"238",102,0,1,1,1,6
"239",102,0,1,1,1,6
"240",102,0,1,1,1,6
"241",103,0,0,0,1,1
"242",103,0,0,0,1,1
"243",103,0,0,0,1,1
"244",103,0,0,0,1,1
"245",103,0,0,0,1,1
"246",103,0,0,0,1,1
"247",103,0,0,0,1,1
"248",103,0,0,0,1,1
"249",103,0,0,0,1,1
"250",103,0,0,0,1,1
"251",103,0,0,0,1,1
"252",103,0,0,0,1,1
"253",103,0,0,0,1,1
"254",103,0,0,0,1,1
"255",103,0,0,0,1,1
"256",103,0,0,0,1,1
"257",103,0,0,0,1,2
"258",103,0,0,0,1,2
"259",103,0,0,0,1,2
"260",103,0,0,0,1,2
"261",103,0,0,0,1,2
"262",103,0,0,0,1,2
"263",103,0,0,0,1,2
"264",103,0,0,0,1,2
"265",103,0,0,0,1,3
"266",103,0,0,0,1,3
"267",103,0,0,0,1,3
"268",103,0,0,0,0,4
"269",103,0,0,0,0,4
"270",103,0,0,0,0,4
"271",103,0,0,1,0,2
"272",103,0,0,1,0,2
"273",103,0,0,1,0,3
"274",103,0,0,1,0,3
"275",103,0,0,1,0,3
"276",103,0,0,1,0,3
"277",103,0,0,1,1,4
"278",103,0,0,1,1,5
"279",103,0,0,1,1,5
"280",103,0,0,1,1,5
"281",103,0,0,1,1,5
"282",103,0,0,1,1,5
"283",103,0,0,1,1,5
"284",103,0,0,1,1,6
"285",103,0,0,1,1,6
"286",103,0,0,1,1,6
"287",103,0,0,1,1,6
"288",103,0,0,1,1,6
"289",103,0,0,1,1,6
"290",103,0,0,1,1,6
"291",103,0,0,1,1,6
"292",103,0,0,1,1,6
"293",103,0,0,1,1,6
"294",103,0,0,1,1,6
"295",103,0,0,1,1,6
"296",103,0,0,1,1,6
"297",103,0,0,1,1,6
"298",103,0,0,1,1,6
"299",103,0,0,1,1,6
"300",103,0,0,1,1,6
"301",103,0,1,0,1,1
"302",103,0,1,0,1,1
"303",103,0,1,0,1,1
"304",103,0,1,0,1,1
"305",103,0,1,0,1,1
"306",103,0,1,0,1,1
"307",103,0,1,0,1,1
"308",103,0,1,0,1,1
"309",103,0,1,0,1,1
"310",103,0,1,0,1,1
"311",103,0,1,0,1,1
"312",103,0,1,0,1,1
"313",103,0,1,0,1,2
"314",103,0,1,0,1,2
"315",103,0,1,0,1,2
"316",103,0,1,0,1,2
"317",103,0,1,0,1,2
"318",103,0,1,0,1,2
"319",103,0,1,0,1,2
"320",103,0,1,0,1,2
"321",103,0,1,0,1,3
"322",103,0,1,0,1,3
"323",103,0,1,0,1,3
"324",103,0,1,0,1,3
"325",103,0,1,0,0,4
"326",103,0,1,0,0,4
"327",103,0,1,0,0,4
"328",103,0,1,0,0,5
"329",103,0,1,0,0,5
"330",103,0,1,0,0,5
"331",103,0,1,1,0,2
"332",103,0,1,1,0,2
"333",103,0,1,1,0,2
"334",103,0,1,1,1,4
"335",103,0,1,1,1,4
"336",103,0,1,1,1,4
"337",103,0,1,1,1,4
"338",103,0,1,1,1,4
"339",103,0,1,1,1,4
"340",103,0,1,1,1,5
"341",103,0,1,1,1,5
"342",103,0,1,1,1,5
"343",103,0,1,1,1,5
"344",103,0,1,1,1,5
"345",103,0,1,1,1,6
"346",103,0,1,1,1,6
"347",103,0,1,1,1,6
"348",103,0,1,1,1,6
"349",103,0,1,1,1,6
"350",103,0,1,1,1,6
"351",103,0,1,1,1,6
"352",103,0,1,1,1,6
"353",103,0,1,1,1,6
"354",103,0,1,1,1,6
"355",103,0,1,1,1,6
"356",103,0,1,1,1,6
"357",103,0,1,1,1,6
"358",103,0,1,1,1,6
"359",103,0,1,1,1,6
"360",103,0,1,1,1,6
"361",104,0,0,0,1,1
"362",104,0,0,0,1,1
"363",104,0,0,0,1,1
"364",104,0,0,0,1,1
"365",104,0,0,0,1,1
"366",104,0,0,0,1,1
"367",104,0,0,0,1,1
"368",104,0,0,0,1,1
"369",104,0,0,0,1,2
"370",104,0,0,0,1,2
"371",104,0,0,0,1,2
"372",104,0,0,0,1,2
"373",104,0,0,0,1,2
"374",104,0,0,0,1,2
"375",104,0,0,0,1,2
"376",104,0,0,0,1,3
"377",104,0,0,0,1,3
"378",104,0,0,0,1,3
"379",104,0,0,0,1,3
"380",104,0,0,0,1,3
"381",104,0,0,0,0,4
"382",104,0,0,0,0,4
"383",104,0,0,0,0,5
"384",104,0,0,0,0,5
"385",104,0,0,0,0,5
"386",104,0,0,0,0,5
"387",104,0,0,0,0,5
"388",104,0,0,0,0,6
"389",104,0,0,0,0,6
"390",104,0,0,0,0,6
"391",104,0,0,1,0,2
"392",104,0,0,1,0,2
"393",104,0,0,1,0,2
"394",104,0,0,1,0,3
"395",104,0,0,1,0,3
"396",104,0,0,1,1,4
"397",104,0,0,1,1,4
"398",104,0,0,1,1,4
"399",104,0,0,1,1,4
"400",104,0,0,1,1,5
"401",104,0,0,1,1,5
"402",104,0,0,1,1,5
"403",104,0,0,1,1,6
"404",104,0,0,1,1,6
"405",104,0,0,1,1,6
"406",104,0,0,1,1,6
"407",104,0,0,1,1,6
"408",104,0,0,1,1,6
"409",104,0,0,1,1,6
"410",104,0,0,1,1,6
"411",104,0,0,1,1,6
"412",104,0,0,1,1,6
"413",104,0,0,1,1,6
"414",104,0,0,1,1,6
"415",104,0,0,1,1,6
"416",104,0,0,1,1,6
"417",104,0,0,1,1,6
"418",104,0,0,1,1,6
"419",104,0,0,1,1,6
"420",104,0,0,1,1,6
"421",104,0,1,0,1,1
"422",104,0,1,0,1,1
"423",104,0,1,0,1,1
"424",104,0,1,0,1,1
"425",104,0,1,0,1,2
"426",104,0,1,0,1,2
"427",104,0,1,0,1,2
"428",104,0,1,0,1,2
"429",104,0,1,0,1,2
"430",104,0,1,0,1,2
"431",104,0,1,0,1,2
"432",104,0,1,0,1,2
"433",104,0,1,0,1,3
"434",104,0,1,0,1,3
"435",104,0,1,0,1,3
"436",104,0,1,0,1,3
"437",104,0,1,0,0,4
"438",104,0,1,0,0,4
"439",104,0,1,0,0,4
"440",104,0,1,0,0,4
"441",104,0,1,0,0,4
"442",104,0,1,0,0,5
"443",104,0,1,0,0,5
"444",104,0,1,0,0,5
"445",104,0,1,0,0,5
"446",104,0,1,0,0,6
"447",104,0,1,0,0,6
"448",104,0,1,0,0,6
"449",104,0,1,0,0,6
"450",104,0,1,0,0,6
"451",104,0,1,1,0,1
"452",104,0,1,1,0,1
"453",104,0,1,1,0,2
"454",104,0,1,1,0,2
"455",104,0,1,1,0,2
"456",104,0,1,1,0,3
"457",104,0,1,1,0,3
"458",104,0,1,1,0,3
"459",104,0,1,1,1,4
"460",104,0,1,1,1,4
"461",104,0,1,1,1,4
"462",104,0,1,1,1,4
"463",104,0,1,1,1,4
"464",104,0,1,1,1,4
"465",104,0,1,1,1,5
"466",104,0,1,1,1,5
"467",104,0,1,1,1,5
"468",104,0,1,1,1,5
"469",104,0,1,1,1,6
"470",104,0,1,1,1,6
"471",104,0,1,1,1,6
"472",104,0,1,1,1,6
"473",104,0,1,1,1,6
"474",104,0,1,1,1,6
"475",104,0,1,1,1,6
"476",104,0,1,1,1,6
"477",104,0,1,1,1,6
"478",104,0,1,1,1,6
"479",104,0,1,1,1,6
"480",104,0,1,1,1,6
"481",105,0,0,0,1,1
"482",105,0,0,0,1,1
"483",105,0,0,0,1,1
"484",105,0,0,0,1,2
"485",105,0,0,0,1,2
"486",105,0,0,0,1,2
"487",105,0,0,0,1,2
"488",105,0,0,0,1,2
"489",105,0,0,0,1,2
"490",105,0,0,0,1,2
"491",105,0,0,0,1,2
"492",105,0,0,0,1,2
"493",105,0,0,0,1,2
"494",105,0,0,0,1,2
"495",105,0,0,0,1,2
"496",105,0,0,0,1,3
"497",105,0,0,0,1,3
"498",105,0,0,0,0,4
"499",105,0,0,0,0,4
"500",105,0,0,0,0,4
"501",105,0,0,0,0,4
"502",105,0,0,0,0,4
"503",105,0,0,0,0,4
"504",105,0,0,0,0,5
"505",105,0,0,0,0,5
"506",105,0,0,0,0,5
"507",105,0,0,0,0,5
"508",105,0,0,0,0,5
"509",105,0,0,0,0,6
"510",105,0,0,0,0,6
"511",105,0,0,1,0,1
"512",105,0,0,1,0,2
"513",105,0,0,1,0,2
"514",105,0,0,1,0,2
"515",105,0,0,1,0,2
"516",105,0,0,1,0,3
"517",105,0,0,1,0,3
"518",105,0,0,1,0,3
"519",105,0,0,1,1,4
"520",105,0,0,1,1,4
"521",105,0,0,1,1,4
"522",105,0,0,1,1,4
"523",105,0,0,1,1,4
"524",105,0,0,1,1,4
"525",105,0,0,1,1,4
"526",105,0,0,1,1,4
"527",105,0,0,1,1,4
"528",105,0,0,1,1,5
"529",105,0,0,1,1,5
"530",105,0,0,1,1,5
"531",105,0,0,1,1,6
"532",105,0,0,1,1,6
"533",105,0,0,1,1,6
"534",105,0,0,1,1,6
"535",105,0,0,1,1,6
"536",105,0,0,1,1,6
"537",105,0,0,1,1,6
"538",105,0,0,1,1,6
"539",105,0,0,1,1,6
"540",105,0,0,1,1,6
"541",105,0,1,0,1,1
"542",105,0,1,0,1,1
"543",105,0,1,0,1,1
"544",105,0,1,0,1,1
"545",105,0,1,0,1,2
"546",105,0,1,0,1,2
"547",105,0,1,0,1,2
"548",105,0,1,0,1,2
"549",105,0,1,0,1,2
"550",105,0,1,0,1,2
"551",105,0,1,0,1,2
"552",105,0,1,0,1,2
"553",105,0,1,0,1,2
"554",105,0,1,0,1,2
"555",105,0,1,0,1,3
"556",105,0,1,0,0,4
"557",105,0,1,0,0,4
"558",105,0,1,0,0,4
"559",105,0,1,0,0,4
"560",105,0,1,0,0,4
"561",105,0,1,0,0,4
"562",105,0,1,0,0,4
"563",105,0,1,0,0,5
"564",105,0,1,0,0,5
"565",105,0,1,0,0,5
"566",105,0,1,0,0,5
"567",105,0,1,0,0,5
"568",105,0,1,0,0,5
"569",105,0,1,0,0,5
"570",105,0,1,0,0,6
"571",105,0,1,1,0,1
"572",105,0,1,1,0,1
"573",105,0,1,1,0,1
"574",105,0,1,1,0,2
"575",105,0,1,1,0,2
"576",105,0,1,1,0,2
"577",105,0,1,1,0,2
"578",105,0,1,1,0,2
"579",105,0,1,1,0,3
"580",105,0,1,1,0,3
"581",105,0,1,1,1,4
"582",105,0,1,1,1,4
"583",105,0,1,1,1,4
"584",105,0,1,1,1,4
"585",105,0,1,1,1,4
"586",105,0,1,1,1,4
"587",105,0,1,1,1,5
"588",105,0,1,1,1,5
"589",105,0,1,1,1,5
"590",105,0,1,1,1,5
"591",105,0,1,1,1,5
"592",105,0,1,1,1,6
"593",105,0,1,1,1,6
"594",105,0,1,1,1,6
"595",105,0,1,1,1,6
"596",105,0,1,1,1,6
"597",105,0,1,1,1,6
"598",105,0,1,1,1,6
"599",105,0,1,1,1,6
"600",105,0,1,1,1,6
"601",106,0,0,0,1,1
"602",106,0,0,0,1,1
"603",106,0,0,0,1,1
"604",106,0,0,0,1,1
"605",106,0,0,0,1,1
"606",106,0,0,0,1,1
"607",106,0,0,0,1,1
"608",106,0,0,0,1,1
"609",106,0,0,0,1,1
"610",106,0,0,0,1,1
"611",106,0,0,0,1,1
"612",106,0,0,0,1,1
"613",106,0,0,0,1,1
"614",106,0,0,0,1,1
"615",106,0,0,0,1,1
"616",106,0,0,0,1,1
"617",106,0,0,0,1,1
"618",106,0,0,0,1,1
"619",106,0,0,0,1,2
"620",106,0,0,0,1,2
"621",106,0,0,0,1,2
"622",106,0,0,0,1,2
"623",106,0,0,0,1,2
"624",106,0,0,0,1,2
"625",106,0,0,0,1,2
"626",106,0,0,0,1,3
"627",106,0,0,0,1,3
"628",106,0,0,0,0,4
"629",106,0,0,0,0,4
"630",106,0,0,0,0,5
"631",106,0,0,1,0,1
"632",106,0,0,1,0,2
"633",106,0,0,1,0,2
"634",106,0,0,1,0,2
"635",106,0,0,1,0,2
"636",106,0,0,1,0,2
"637",106,0,0,1,0,2
"638",106,0,0,1,0,3
"639",106,0,0,1,0,3
"640",106,0,0,1,0,3
"641",106,0,0,1,1,5
"642",106,0,0,1,1,5
"643",106,0,0,1,1,5
"644",106,0,0,1,1,5
"645",106,0,0,1,1,5
"646",106,0,0,1,1,5
"647",106,0,0,1,1,5
"648",106,0,0,1,1,6
"649",106,0,0,1,1,6
"650",106,0,0,1,1,6
"651",106,0,0,1,1,6
"652",106,0,0,1,1,6
"653",106,0,0,1,1,6
"654",106,0,0,1,1,6
"655",106,0,0,1,1,6
"656",106,0,0,1,1,6
"657",106,0,0,1,1,6
"658",106,0,0,1,1,6
"659",106,0,0,1,1,6
"660",106,0,0,1,1,6
"661",106,0,1,0,1,1
"662",106,0,1,0,1,1
"663",106,0,1,0,1,1
"664",106,0,1,0,1,1
"665",106,0,1,0,1,1
"666",106,0,1,0,1,1
"667",106,0,1,0,1,1
"668",106,0,1,0,1,2
"669",106,0,1,0,1,2
"670",106,0,1,0,1,2
"671",106,0,1,0,1,2
"672",106,0,1,0,1,2
"673",106,0,1,0,1,2
"674",106,0,1,0,1,2
"675",106,0,1,0,1,2
"676",106,0,1,0,1,3
"677",106,0,1,0,1,3
"678",106,0,1,0,1,3
"679",106,0,1,0,0,4
"680",106,0,1,0,0,4
"681",106,0,1,0,0,4
"682",106,0,1,0,0,4
"683",106,0,1,0,0,5
"684",106,0,1,0,0,5
"685",106,0,1,0,0,5
"686",106,0,1,0,0,5
"687",106,0,1,0,0,5
"688",106,0,1,0,0,5
"689",106,0,1,0,0,6
"690",106,0,1,0,0,6
"691",106,0,1,1,0,2
"692",106,0,1,1,0,2
"693",106,0,1,1,0,2
"694",106,0,1,1,0,2
"695",106,0,1,1,0,2
"696",106,0,1,1,0,3
"697",106,0,1,1,1,4
"698",106,0,1,1,1,4
"699",106,0,1,1,1,5
"700",106,0,1,1,1,5
"701",106,0,1,1,1,5
"702",106,0,1,1,1,5
"703",106,0,1,1,1,5
"704",106,0,1,1,1,5
"705",106,0,1,1,1,5
"706",106,0,1,1,1,5
"707",106,0,1,1,1,5
"708",106,0,1,1,1,5
"709",106,0,1,1,1,6
"710",106,0,1,1,1,6
"711",106,0,1,1,1,6
"712",106,0,1,1,1,6
"713",106,0,1,1,1,6
"714",106,0,1,1,1,6
"715",106,0,1,1,1,6
"716",106,0,1,1,1,6
"717",106,0,1,1,1,6
"718",106,0,1,1,1,6
"719",106,0,1,1,1,6
"720",106,0,1,1,1,6
"721",107,0,0,0,1,1
"722",107,0,0,0,1,1
"723",107,0,0,0,1,1
"724",107,0,0,0,1,1
"725",107,0,0,0,1,1
"726",107,0,0,0,1,1
"727",107,0,0,0,1,1
"728",107,0,0,0,1,1
"729",107,0,0,0,1,1
"730",107,0,0,0,1,1
"731",107,0,0,0,1,1
"732",107,0,0,0,1,1
"733",107,0,0,0,1,1
"734",107,0,0,0,1,1
"735",107,0,0,0,1,1
"736",107,0,0,0,1,1
"737",107,0,0,0,1,1
"738",107,0,0,0,1,2
"739",107,0,0,0,1,2
"740",107,0,0,0,1,2
"741",107,0,0,0,1,2
"742",107,0,0,0,1,2
"743",107,0,0,0,1,3
"744",107,0,0,0,1,3
"745",107,0,0,0,1,3
"746",107,0,0,0,0,5
"747",107,0,0,0,0,5
"748",107,0,0,0,0,5
"749",107,0,0,0,0,5
"750",107,0,0,0,0,5
"751",107,0,0,1,0,2
"752",107,0,0,1,0,2
"753",107,0,0,1,0,2
"754",107,0,0,1,0,3
"755",107,0,0,1,0,3
"756",107,0,0,1,0,3
"757",107,0,0,1,0,3
"758",107,0,0,1,1,4
"759",107,0,0,1,1,5
"760",107,0,0,1,1,5
"761",107,0,0,1,1,5
"762",107,0,0,1,1,5
"763",107,0,0,1,1,5
"764",107,0,0,1,1,5
"765",107,0,0,1,1,5
"766",107,0,0,1,1,5
"767",107,0,0,1,1,6
"768",107,0,0,1,1,6
"769",107,0,0,1,1,6
"770",107,0,0,1,1,6
"771",107,0,0,1,1,6
"772",107,0,0,1,1,6
"773",107,0,0,1,1,6
"774",107,0,0,1,1,6
"775",107,0,0,1,1,6
"776",107,0,0,1,1,6
"777",107,0,0,1,1,6
"778",107,0,0,1,1,6
"779",107,0,0,1,1,6
"780",107,0,0,1,1,6
"781",107,0,1,0,1,1
"782",107,0,1,0,1,1
"783",107,0,1,0,1,1
"784",107,0,1,0,1,1
"785",107,0,1,0,1,1
"786",107,0,1,0,1,1
"787",107,0,1,0,1,1
"788",107,0,1,0,1,1
"789",107,0,1,0,1,1
"790",107,0,1,0,1,1
"791",107,0,1,0,1,1
"792",107,0,1,0,1,2
"793",107,0,1,0,1,2
"794",107,0,1,0,1,2
"795",107,0,1,0,1,2
"796",107,0,1,0,1,2
"797",107,0,1,0,1,2
"798",107,0,1,0,1,3
"799",107,0,1,0,1,3
"800",107,0,1,0,1,3
"801",107,0,1,0,1,3
"802",107,0,1,0,1,3
"803",107,0,1,0,0,4
"804",107,0,1,0,0,4
"805",107,0,1,0,0,5
"806",107,0,1,0,0,5
"807",107,0,1,0,0,5
"808",107,0,1,0,0,6
"809",107,0,1,0,0,6
"810",107,0,1,0,0,6
"811",107,0,1,1,0,1
"812",107,0,1,1,0,2
"813",107,0,1,1,0,2
"814",107,0,1,1,0,2
"815",107,0,1,1,0,2
"816",107,0,1,1,0,3
"817",107,0,1,1,0,3
"818",107,0,1,1,0,3
"819",107,0,1,1,0,3
"820",107,0,1,1,0,3
"821",107,0,1,1,0,3
"822",107,0,1,1,1,4
"823",107,0,1,1,1,4
"824",107,0,1,1,1,4
"825",107,0,1,1,1,4
"826",107,0,1,1,1,5
"827",107,0,1,1,1,5
"828",107,0,1,1,1,5
"829",107,0,1,1,1,5
"830",107,0,1,1,1,5
"831",107,0,1,1,1,5
"832",107,0,1,1,1,5
"833",107,0,1,1,1,5
"834",107,0,1,1,1,6
"835",107,0,1,1,1,6
"836",107,0,1,1,1,6
"837",107,0,1,1,1,6
"838",107,0,1,1,1,6
"839",107,0,1,1,1,6
"840",107,0,1,1,1,6
"841",108,0,0,0,1,1
"842",108,0,0,0,1,1
"843",108,0,0,0,1,1
"844",108,0,0,0,1,1
"845",108,0,0,0,1,1
"846",108,0,0,0,1,1
"847",108,0,0,0,1,1
"848",108,0,0,0,1,1
"849",108,0,0,0,1,1
"850",108,0,0,0,1,1
"851",108,0,0,0,1,1
"852",108,0,0,0,1,1
"853",108,0,0,0,1,1
"854",108,0,0,0,1,1
"855",108,0,0,0,1,2
"856",108,0,0,0,1,2
"857",108,0,0,0,1,2
"858",108,0,0,0,1,2
"859",108,0,0,0,1,3
"860",108,0,0,0,0,4
"861",108,0,0,0,0,4
"862",108,0,0,0,0,5
"863",108,0,0,0,0,5
"864",108,0,0,0,0,5
"865",108,0,0,0,0,5
"866",108,0,0,0,0,5
"867",108,0,0,0,0,5
"868",108,0,0,0,0,6
"869",108,0,0,0,0,6
"870",108,0,0,0,0,6
"871",108,0,0,1,0,1
"872",108,0,0,1,0,1
"873",108,0,0,1,0,2
"874",108,0,0,1,0,2
"875",108,0,0,1,0,2
"876",108,0,0,1,0,3
"877",108,0,0,1,0,3
"878",108,0,0,1,0,3
"879",108,0,0,1,1,4
"880",108,0,0,1,1,4
"881",108,0,0,1,1,4
"882",108,0,0,1,1,5
"883",108,0,0,1,1,5
"884",108,0,0,1,1,5
"885",108,0,0,1,1,5
"886",108,0,0,1,1,6
"887",108,0,0,1,1,6
"888",108,0,0,1,1,6
"889",108,0,0,1,1,6
"890",108,0,0,1,1,6
"891",108,0,0,1,1,6
"892",108,0,0,1,1,6
"893",108,0,0,1,1,6
"894",108,0,0,1,1,6
"895",108,0,0,1,1,6
"896",108,0,0,1,1,6
"897",108,0,0,1,1,6
"898",108,0,0,1,1,6
"899",108,0,0,1,1,6
"900",108,0,0,1,1,6
"901",108,0,1,0,1,1
"902",108,0,1,0,1,1
"903",108,0,1,0,1,1
"904",108,0,1,0,1,1
"905",108,0,1,0,1,1
"906",108,0,1,0,1,1
"907",108,0,1,0,1,1
"908",108,0,1,0,1,1
"909",108,0,1,0,1,1
"910",108,0,1,0,1,1
"911",108,0,1,0,1,1
"912",108,0,1,0,1,1
"913",108,0,1,0,1,2
"914",108,0,1,0,1,2
"915",108,0,1,0,1,2
"916",108,0,1,0,1,2
"917",108,0,1,0,1,2
"918",108,0,1,0,1,3
"919",108,0,1,0,1,3
"920",108,0,1,0,1,3
"921",108,0,1,0,0,4
"922",108,0,1,0,0,4
"923",108,0,1,0,0,4
"924",108,0,1,0,0,4
"925",108,0,1,0,0,5
"926",108,0,1,0,0,5
"927",108,0,1,0,0,6
"928",108,0,1,0,0,6
"929",108,0,1,0,0,6
