Call: 
traitMPT(eqnfile = "2htmratings2.eqn", data = dy, restrictions = list("q1_A=q6_A", 
    "q2_A=q5_A", "q1_B=q6_B", "q2_B=q5_B"), n.iter = 75000, n.adapt = 15000, 
    n.burnin = 10000, n.thin = 10, n.chains = 4, modelfilename = "young.jags", 
    parEstFile = "youngratings.txt", posteriorFile = "youngratingsmod.RData")

Group-level medians of MPT parameters (probability scale):
           Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
latent_mu_po_B  0.927 0.329  0.275  0.924  1.592          0.013   668 1.002 1.006
latent_mu_q1_A -1.738 0.297 -2.419 -1.709 -1.244          0.007  1945 1.002 1.006
latent_mu_q1_B -1.184 0.162 -1.529 -1.175 -0.891          0.004  1718 1.001 1.004
latent_mu_q2_A -0.255 0.141 -0.539 -0.254  0.021          0.004  1171 1.001 1.003
latent_mu_q2_B -0.475 0.110 -0.702 -0.472 -0.269          0.002  3434 1.001 1.002
latent_mu_r1   -0.536 0.157 -0.846 -0.535 -0.227          0.006   628 1.006 1.016
latent_mu_r2    0.422 0.138  0.191  0.410  0.726          0.004  1038 1.005 1.006
latent_mu_r5    1.364 0.468  0.688  1.276  2.509          0.010  2092 1.001 1.004
latent_mu_r6    0.911 0.230  0.492  0.898  1.394          0.009   664 1.004 1.005

Standard deviation of latent-trait values (probit scale) across individuals:
                   Mean    SD  2.5%   50% 97.5% Time-series SE n.eff  Rhat R_95%
latent_sigma_b_A  0.316 0.182 0.019 0.306 0.700          0.007   732 1.013 1.036
latent_sigma_b_B  0.158 0.117 0.007 0.137 0.435          0.002  2257 1.012 1.032
latent_sigma_pn_A 0.248 0.150 0.015 0.238 0.569          0.005   876 1.009 1.027
latent_sigma_pn_B 0.302 0.184 0.020 0.282 0.711          0.007   789 1.002 1.004
latent_sigma_po_A 0.571 0.186 0.250 0.557 0.982          0.004  1888 1.003 1.007
latent_sigma_po_B 1.510 0.406 0.909 1.446 2.508          0.008  2620 1.009 1.028
latent_sigma_q1_A 0.786 0.371 0.200 0.736 1.670          0.008  2287 1.004 1.008
latent_sigma_q1_B 0.429 0.196 0.086 0.413 0.857          0.004  2644 1.001 1.004
latent_sigma_q2_A 0.449 0.171 0.135 0.437 0.821          0.004  1727 1.007 1.019
latent_sigma_q2_B 0.177 0.124 0.008 0.158 0.468          0.003  1926 1.004 1.009
latent_sigma_r1   0.655 0.152 0.408 0.637 1.000          0.003  3492 1.001 1.004
latent_sigma_r2   0.263 0.148 0.020 0.254 0.585          0.004  1273 1.011 1.030
latent_sigma_r5   0.509 0.458 0.020 0.409 1.635          0.008  3128 1.001 1.002
latent_sigma_r6   0.866 0.228 0.510 0.837 1.394          0.006  1467 1.005 1.015

Correlations of latent-trait values on probit scale:
                 Mean    SD   2.5%    50% 97.5% Time-series SE n.eff  Rhat R_95%
rho[b_A,b_B]   -0.008 0.420 -0.763 -0.016 0.767          0.023   338 1.023 1.066
rho[b_A,pn_A]   0.305 0.375 -0.609  0.371 0.842          0.019   393 1.027 1.064
rho[b_A,pn_B]   0.160 0.374 -0.600  0.186 0.800          0.017   498 1.015 1.040
rho[b_A,po_A]  -0.054 0.313 -0.624 -0.063 0.573          0.011   832 1.007 1.018
rho[b_A,po_B]   0.289 0.296 -0.360  0.322 0.769          0.012   648 1.022 1.058
rho[b_A,q1_A]   0.267 0.351 -0.522  0.313 0.813          0.015   558 1.072 1.195
rho[b_A,q1_B]   0.285 0.363 -0.535  0.330 0.837          0.016   488 1.069 1.187
rho[b_A,q2_A]   0.363 0.332 -0.448  0.423 0.837          0.014   559 1.091 1.240
rho[b_A,q2_B]  -0.009 0.381 -0.714 -0.007 0.696          0.015   655 1.004 1.005
rho[b_A,r1]     0.120 0.315 -0.550  0.141 0.668          0.012   701 1.038 1.102
rho[b_A,r2]     0.161 0.379 -0.640  0.192 0.806          0.021   326 1.039 1.110
rho[b_A,r5]     0.141 0.405 -0.657  0.169 0.812          0.020   423 1.087 1.243
rho[b_A,r6]     0.399 0.347 -0.507  0.473 0.860          0.018   368 1.105 1.274
rho[b_B,pn_A]  -0.017 0.393 -0.741 -0.014 0.693          0.017   528 1.008 1.018
rho[b_B,pn_B]   0.117 0.373 -0.618  0.137 0.762          0.015   594 1.019 1.057
rho[b_B,po_A]  -0.046 0.314 -0.625 -0.051 0.572          0.010   983 1.005 1.014
rho[b_B,po_B]  -0.009 0.344 -0.641 -0.014 0.647          0.015   527 1.002 1.005
rho[b_B,q1_A]  -0.028 0.400 -0.758 -0.031 0.717          0.021   370 1.005 1.009
rho[b_B,q1_B]  -0.079 0.415 -0.775 -0.103 0.726          0.025   278 1.009 1.026
rho[b_B,q2_A]  -0.071 0.401 -0.758 -0.087 0.700          0.021   362 1.018 1.050
rho[b_B,q2_B]  -0.018 0.364 -0.688 -0.022 0.670          0.013   786 1.034 1.098
rho[b_B,r1]    -0.004 0.333 -0.621 -0.005 0.616          0.014   565 1.006 1.019
rho[b_B,r2]    -0.088 0.386 -0.747 -0.113 0.684          0.019   407 1.006 1.011
rho[b_B,r5]     0.046 0.393 -0.706  0.057 0.752          0.017   563 1.012 1.026
rho[b_B,r6]    -0.079 0.436 -0.819 -0.101 0.733          0.028   234 1.007 1.019
rho[pn_A,pn_B]  0.144 0.360 -0.605  0.172 0.744          0.015   540 1.018 1.046
rho[pn_A,po_A] -0.148 0.305 -0.674 -0.168 0.482          0.010   995 1.009 1.024
rho[pn_A,po_B]  0.300 0.289 -0.347  0.332 0.765          0.010   788 1.014 1.024
rho[pn_A,q1_A]  0.094 0.367 -0.674  0.118 0.729          0.015   617 1.014 1.026
rho[pn_A,q1_B]  0.193 0.379 -0.666  0.236 0.799          0.019   398 1.036 1.095
rho[pn_A,q2_A]  0.273 0.349 -0.551  0.321 0.811          0.015   519 1.029 1.055
rho[pn_A,q2_B] -0.030 0.378 -0.709 -0.042 0.705          0.015   632 1.009 1.022
rho[pn_A,r1]    0.019 0.302 -0.579  0.027 0.577          0.010   924 1.012 1.032
rho[pn_A,r2]    0.095 0.372 -0.657  0.110 0.745          0.017   509 1.020 1.041
rho[pn_A,r5]    0.069 0.391 -0.710  0.083 0.757          0.018   466 1.017 1.038
rho[pn_A,r6]    0.288 0.362 -0.587  0.343 0.821          0.018   405 1.034 1.070
rho[pn_B,po_A] -0.037 0.301 -0.605 -0.040 0.538          0.008  1277 1.004 1.012
rho[pn_B,po_B]  0.143 0.294 -0.469  0.161 0.661          0.010   881 1.008 1.022
rho[pn_B,q1_A]  0.048 0.360 -0.647  0.058 0.694          0.016   527 1.003 1.004
rho[pn_B,q1_B]  0.142 0.374 -0.614  0.169 0.773          0.017   474 1.005 1.009
rho[pn_B,q2_A]  0.209 0.361 -0.556  0.252 0.788          0.016   508 1.017 1.049
rho[pn_B,q2_B]  0.019 0.356 -0.639  0.019 0.678          0.012   817 1.006 1.014
rho[pn_B,r1]   -0.116 0.293 -0.643 -0.130 0.469          0.009   993 1.005 1.011
rho[pn_B,r2]    0.079 0.366 -0.640  0.091 0.738          0.016   515 1.006 1.011
rho[pn_B,r5]    0.119 0.373 -0.605  0.131 0.781          0.015   609 1.018 1.042
rho[pn_B,r6]    0.162 0.373 -0.625  0.197 0.769          0.018   447 1.010 1.022
rho[po_A,po_B] -0.123 0.256 -0.592 -0.129 0.390          0.006  1587 1.009 1.025
rho[po_A,q1_A]  0.141 0.290 -0.436  0.148 0.673          0.008  1175 1.008 1.023
rho[po_A,q1_B]  0.081 0.303 -0.511  0.087 0.647          0.010   910 1.003 1.009
rho[po_A,q2_A]  0.047 0.291 -0.516  0.050 0.602          0.009  1150 1.004 1.010
rho[po_A,q2_B]  0.116 0.308 -0.505  0.130 0.660          0.009  1187 1.006 1.019
rho[po_A,r1]    0.096 0.250 -0.396  0.100 0.569          0.005  2303 1.002 1.006
rho[po_A,r2]    0.069 0.293 -0.507  0.074 0.612          0.009  1172 1.006 1.019
rho[po_A,r5]    0.000 0.311 -0.588  0.001 0.587          0.009  1102 1.008 1.020
rho[po_A,r6]    0.072 0.284 -0.474  0.074 0.614          0.009   894 1.004 1.009
rho[po_B,q1_A]  0.122 0.273 -0.418  0.130 0.622          0.008  1178 1.006 1.015
rho[po_B,q1_B]  0.133 0.277 -0.422  0.143 0.642          0.008  1226 1.001 1.004
rho[po_B,q2_A]  0.299 0.246 -0.229  0.318 0.720          0.006  1564 1.019 1.056
rho[po_B,q2_B] -0.126 0.327 -0.704 -0.141 0.527          0.012   724 1.007 1.015
rho[po_B,r1]    0.055 0.231 -0.399  0.058 0.493          0.004  2791 1.000 1.001
rho[po_B,r2]    0.169 0.298 -0.464  0.192 0.680          0.011   713 1.004 1.010
rho[po_B,r5]    0.031 0.330 -0.599  0.037 0.640          0.013   646 1.038 1.110
rho[po_B,r6]    0.266 0.234 -0.221  0.279 0.679          0.005  1949 1.004 1.014
rho[q1_A,q1_B]  0.384 0.293 -0.265  0.418 0.842          0.010   866 1.006 1.017
rho[q1_A,q2_A]  0.304 0.308 -0.354  0.333 0.813          0.013   555 1.008 1.023
rho[q1_A,q2_B]  0.106 0.361 -0.622  0.125 0.738          0.014   682 1.016 1.045
rho[q1_A,r1]    0.370 0.243 -0.164  0.395 0.768          0.007  1251 1.009 1.026
rho[q1_A,r2]    0.227 0.344 -0.508  0.259 0.795          0.015   534 1.024 1.071
rho[q1_A,r5]    0.126 0.407 -0.702  0.162 0.792          0.022   332 1.040 1.119
rho[q1_A,r6]    0.453 0.269 -0.152  0.491 0.869          0.010   718 1.011 1.033
rho[q1_B,q2_A]  0.410 0.286 -0.238  0.444 0.858          0.011   732 1.007 1.021
rho[q1_B,q2_B]  0.146 0.384 -0.669  0.176 0.780          0.017   517 1.030 1.081
rho[q1_B,r1]    0.254 0.272 -0.303  0.270 0.723          0.008  1191 1.010 1.031
rho[q1_B,r2]    0.319 0.339 -0.464  0.365 0.839          0.016   432 1.035 1.101
rho[q1_B,r5]    0.159 0.411 -0.674  0.201 0.822          0.023   315 1.050 1.146
rho[q1_B,r6]    0.533 0.240 -0.036  0.574 0.876          0.008   895 1.004 1.012
rho[q2_A,q2_B]  0.087 0.371 -0.652  0.107 0.725          0.016   527 1.021 1.060
rho[q2_A,r1]    0.149 0.276 -0.402  0.157 0.660          0.009  1046 1.008 1.022
rho[q2_A,r2]    0.266 0.336 -0.493  0.305 0.802          0.016   466 1.017 1.045
rho[q2_A,r5]    0.143 0.388 -0.627  0.173 0.785          0.021   342 1.075 1.214
rho[q2_A,r6]    0.486 0.239 -0.053  0.515 0.866          0.008   805 1.018 1.048
rho[q2_B,r1]    0.113 0.321 -0.543  0.131 0.675          0.011   889 1.015 1.043
rho[q2_B,r2]    0.074 0.361 -0.626  0.080 0.733          0.014   673 1.018 1.042
rho[q2_B,r5]    0.047 0.370 -0.667  0.054 0.710          0.014   731 1.010 1.023
rho[q2_B,r6]    0.130 0.383 -0.658  0.156 0.772          0.018   446 1.028 1.081
rho[r1,r2]      0.193 0.304 -0.454  0.217 0.704          0.011   752 1.012 1.036
rho[r1,r5]      0.057 0.340 -0.593  0.063 0.677          0.015   516 1.020 1.059
rho[r1,r6]      0.312 0.238 -0.190  0.330 0.723          0.006  1412 1.008 1.025
rho[r2,r5]      0.108 0.381 -0.635  0.120 0.777          0.018   473 1.045 1.129
rho[r2,r6]      0.358 0.328 -0.440  0.413 0.842          0.017   363 1.023 1.065
rho[r5,r6]      0.191 0.429 -0.701  0.261 0.819          0.027   243 1.071 1.202

Correlations (posterior mean estimates) in matrix form:
        b_A    b_B   pn_A   pn_B   po_A   po_B   q1_A   q1_B   q2_A   q2_B     r1     r2    r5
b_A   1.000 -0.008  0.305  0.160 -0.054  0.289  0.267  0.285  0.363 -0.009  0.120  0.161 0.141
b_B  -0.008  1.000 -0.017  0.117 -0.046 -0.009 -0.028 -0.079 -0.071 -0.018 -0.004 -0.088 0.046
pn_A  0.305 -0.017  1.000  0.144 -0.148  0.300  0.094  0.193  0.273 -0.030  0.019  0.095 0.069
pn_B  0.160  0.117  0.144  1.000 -0.037  0.143  0.048  0.142  0.209  0.019 -0.116  0.079 0.119
po_A -0.054 -0.046 -0.148 -0.037  1.000 -0.123  0.141  0.081  0.047  0.116  0.096  0.069 0.000
po_B  0.289 -0.009  0.300  0.143 -0.123  1.000  0.122  0.133  0.299 -0.126  0.055  0.169 0.031
q1_A  0.267 -0.028  0.094  0.048  0.141  0.122  1.000  0.384  0.304  0.106  0.370  0.227 0.126
q1_B  0.285 -0.079  0.193  0.142  0.081  0.133  0.384  1.000  0.410  0.146  0.254  0.319 0.159
q2_A  0.363 -0.071  0.273  0.209  0.047  0.299  0.304  0.410  1.000  0.087  0.149  0.266 0.143
q2_B -0.009 -0.018 -0.030  0.019  0.116 -0.126  0.106  0.146  0.087  1.000  0.113  0.074 0.047
r1    0.120 -0.004  0.019 -0.116  0.096  0.055  0.370  0.254  0.149  0.113  1.000  0.193 0.057
r2    0.161 -0.088  0.095  0.079  0.069  0.169  0.227  0.319  0.266  0.074  0.193  1.000 0.108
r5    0.141  0.046  0.069  0.119  0.000  0.031  0.126  0.159  0.143  0.047  0.057  0.108 1.000
r6    0.399 -0.079  0.288  0.162  0.072  0.266  0.453  0.533  0.486  0.130  0.312  0.358 0.191
         r6
b_A   0.399
b_B  -0.079
pn_A  0.288
pn_B  0.162
po_A  0.072
po_B  0.266
q1_A  0.453
q1_B  0.533
q2_A  0.486
q2_B  0.130
r1    0.312
r2    0.358
r5    0.191
r6    1.000


##############
 Model fit statistics (posterior predictive p-values):
Use PPP(fittedModel) to get T1 and T2 posterior predictive checks.


#################################
#### Individual Parameter Estimates
Parameter  b_A 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.8208058 0.09502147 0.6338663 0.8238930 0.9784381    0.003676491   668 1.011564 1.030219
  2  0.7371331 0.09416085 0.5200560 0.7426560 0.9045114    0.002577091  1335 1.010004 1.027892
  3  0.6566487 0.09016722 0.4505713 0.6688270 0.8001753    0.002647401  1160 1.004257 1.011337
  4  0.7241389 0.09432309 0.5053448 0.7333575 0.8889711    0.002557694  1360 1.010628 1.031351
  5  0.7967350 0.08876879 0.6145376 0.7986815 0.9545936    0.002812747   996 1.019120 1.055551
  6  0.7934348 0.08972134 0.6034819 0.7967015 0.9483976    0.002779469  1042 1.018026 1.052472
  7  0.6831616 0.11574698 0.4039622 0.7021910 0.8691378    0.003818141   919 1.013000 1.031589
  8  0.6573465 0.11145907 0.3937797 0.6738505 0.8357312    0.004409253   639 1.015786 1.045042
  9  0.7452337 0.09821255 0.5180200 0.7525185 0.9138918    0.002370183  1717 1.014155 1.042206
  10 0.7001197 0.10927387 0.4384459 0.7131330 0.8885594    0.003142702  1209 1.001802 1.003206
  11 0.7755079 0.09732165 0.5603062 0.7784450 0.9490047    0.002734142  1267 1.011368 1.031565
  12 0.7651429 0.08921889 0.5693532 0.7686700 0.9217306    0.002697417  1094 1.015212 1.043337
  13 0.6057481 0.12496294 0.3292386 0.6223350 0.8003825    0.005517249   513 1.012229 1.036882
  14 0.7844201 0.08572149 0.6124917 0.7830650 0.9474851    0.002346114  1335 1.007841 1.022471
  15 0.7837728 0.08392593 0.6087813 0.7862690 0.9339676    0.002499967  1127 1.016822 1.046783
  16 0.7006988 0.08382485 0.5076039 0.7098345 0.8440086    0.001933790  1879 1.005273 1.013050
  17 0.7480150 0.08386940 0.5628913 0.7519355 0.9052140    0.002081184  1624 1.003020 1.004616
  18 0.8050239 0.08437241 0.6343658 0.8084820 0.9514932    0.002696554   979 1.013258 1.037871
  19 0.6960693 0.09871786 0.4485720 0.7114830 0.8481767    0.002624324  1415 1.008308 1.021436
  20 0.6999127 0.10553861 0.4410257 0.7159120 0.8719033    0.003264775  1045 1.007784 1.019245
  21 0.7198479 0.08910869 0.5138485 0.7283700 0.8740459    0.002201725  1638 1.011492 1.032063
  22 0.6880385 0.10088377 0.4578763 0.7000195 0.8622864    0.003464363   848 1.005717 1.016516
  23 0.6791223 0.08791213 0.4776713 0.6899180 0.8236082    0.002506665  1230 1.003981 1.010911
  24 0.7043080 0.08397715 0.5073127 0.7146520 0.8439811    0.001926568  1900 1.003722 1.010988
Parameter  b_B 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.5627940 0.09868533 0.3490104 0.5653615 0.7638615    0.003114482  1004 1.012933 1.033926
  2  0.5565975 0.07154472 0.4036223 0.5599785 0.6874729    0.001704412  1762 1.004614 1.013362
  3  0.5884646 0.09028738 0.4111963 0.5864510 0.7796019    0.003275067   760 1.001659 1.003832
  4  0.5863832 0.07520539 0.4453153 0.5836890 0.7459385    0.001700888  1955 1.001824 1.004198
  5  0.5844116 0.07674225 0.4415792 0.5809245 0.7482973    0.001876793  1672 1.003919 1.009361
  6  0.5827487 0.08512968 0.4239780 0.5777645 0.7737795    0.002461588  1196 1.002133 1.004942
  7  0.5420334 0.07183297 0.3867672 0.5467205 0.6705591    0.001451838  2448 1.002353 1.006745
  8  0.5868047 0.10829067 0.3540698 0.5869795 0.8017933    0.005277764   421 1.005489 1.010029
  9  0.5804594 0.07864680 0.4325135 0.5773810 0.7524196    0.001745123  2031 1.000459 1.000838
  10 0.5933158 0.08101849 0.4382761 0.5906575 0.7649513    0.002572340   992 1.002821 1.006582
  11 0.5650402 0.08589891 0.3862389 0.5658085 0.7409310    0.002147473  1600 1.010305 1.025737
  12 0.5804401 0.09017931 0.4106709 0.5758820 0.7809383    0.002534487  1266 1.006267 1.012583
  13 0.5769747 0.10542691 0.3379158 0.5830940 0.7711120    0.005271346   400 1.016928 1.033510
  14 0.5713120 0.08719579 0.3937841 0.5713030 0.7502971    0.002441013  1276 1.004609 1.009839
  15 0.5747849 0.07922884 0.4212009 0.5727970 0.7408060    0.002084969  1444 1.002267 1.005411
  16 0.5706107 0.07844728 0.4088307 0.5722010 0.7230852    0.002322390  1141 1.001009 1.002577
  17 0.5794373 0.08462781 0.4156044 0.5774005 0.7596129    0.002344450  1303 1.002772 1.005010
  18 0.5525586 0.09066199 0.3501836 0.5577235 0.7251702    0.002580879  1234 1.007324 1.017774
  19 0.5676947 0.07826389 0.4064663 0.5692510 0.7202224    0.001731095  2044 1.003148 1.008306
  20 0.5678487 0.06879375 0.4311089 0.5682545 0.7037043    0.001450622  2249 1.000758 1.002245
  21 0.5642522 0.06910339 0.4221912 0.5657020 0.6966496    0.001415590  2383 1.007795 1.022213
  22 0.5832232 0.09095972 0.3967721 0.5829780 0.7701234    0.003406468   713 1.002600 1.007325
  23 0.5985642 0.08559255 0.4401645 0.5949690 0.7817163    0.003007416   810 1.004157 1.011910
  24 0.5914644 0.07764220 0.4487143 0.5881315 0.7627184    0.002120232  1341 1.002449 1.005740
Parameter  pn_A 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.7541215 0.08588077 0.6000843 0.7505075 0.9173727    0.003140112   748 1.010980 1.033217
  2  0.6807521 0.07613303 0.5241598 0.6799730 0.8348659    0.001959226  1510 1.002632 1.008169
  3  0.6109138 0.08535390 0.4079658 0.6247775 0.7441611    0.002471173  1193 1.003924 1.008799
  4  0.6078018 0.09285082 0.3797700 0.6259965 0.7445771    0.002545052  1331 1.001574 1.004483
  5  0.6315827 0.08321427 0.4384851 0.6425600 0.7706036    0.002189091  1445 1.003250 1.009453
  6  0.7371597 0.07866368 0.5946585 0.7317705 0.8934301    0.002174225  1309 1.006436 1.019777
  7  0.5960128 0.10645440 0.3351789 0.6178590 0.7511395    0.003262036  1065 1.006972 1.016442
  8  0.6145531 0.09983320 0.3760653 0.6293730 0.7772885    0.003746673   710 1.008370 1.017919
  9  0.6738979 0.08169534 0.4877646 0.6778685 0.8244083    0.001851460  1947 1.004203 1.011293
  10 0.6531436 0.08619698 0.4498412 0.6616560 0.8084456    0.002567616  1127 1.002494 1.004074
  11 0.6934276 0.07553990 0.5347743 0.6932900 0.8399714    0.001795011  1771 1.003272 1.009444
  12 0.7459971 0.08429094 0.5958415 0.7402540 0.9122027    0.002473801  1161 1.008064 1.025003
  13 0.5880948 0.10938360 0.3276884 0.6067180 0.7592733    0.003783111   836 1.007689 1.015551
  14 0.6533599 0.07425778 0.4804448 0.6605955 0.7851059    0.001527278  2364 1.005067 1.014518
  15 0.6765303 0.07163949 0.5175634 0.6793250 0.8107323    0.001690909  1795 1.003035 1.008761
  16 0.6473583 0.07210574 0.4822455 0.6541555 0.7762404    0.001512079  2274 1.001886 1.005325
  17 0.6827736 0.06958534 0.5344239 0.6832435 0.8190704    0.001356617  2631 1.003694 1.009841
  18 0.6595191 0.07920570 0.4772122 0.6667880 0.7984197    0.002063040  1474 1.001483 1.003629
  19 0.7077545 0.08243148 0.5491289 0.7016140 0.8772362    0.002261156  1329 1.005841 1.017182
  20 0.6215089 0.09038730 0.4013163 0.6368190 0.7623553    0.002479391  1329 1.002660 1.006611
  21 0.6427144 0.08042647 0.4534879 0.6521170 0.7809492    0.001891472  1808 1.003897 1.011861
  22 0.5886729 0.10349199 0.3329252 0.6098510 0.7369785    0.003032102  1165 1.006070 1.017899
  23 0.6174671 0.08277188 0.4237939 0.6291215 0.7518071    0.002360099  1230 1.001265 1.003157
  24 0.6312833 0.07722105 0.4457739 0.6420210 0.7563122    0.001706360  2048 1.001422 1.002839
Parameter  pn_B 
    Statistic
ID        Mean         SD       2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.6338656 0.11121225 0.43249740 0.6235075 0.8615663    0.002919570  1451 1.003585 1.010393
  2  0.4739546 0.11889698 0.20156662 0.4930875 0.6653682    0.003510663  1147 1.001683 1.003711
  3  0.5249918 0.10585815 0.28722080 0.5353890 0.7153765    0.003491938   919 1.002110 1.004860
  4  0.5860910 0.09533967 0.40218842 0.5815540 0.7874586    0.002034962  2195 1.004509 1.014091
  5  0.4805344 0.09921462 0.26482502 0.4908450 0.6502212    0.002617262  1437 1.003048 1.009337
  6  0.5568336 0.09308318 0.36219398 0.5596370 0.7377415    0.002195822  1797 1.003940 1.012359
  7  0.5206336 0.10915606 0.27556890 0.5293710 0.7211164    0.002743515  1583 1.003239 1.009143
  8  0.4442578 0.15852281 0.08795398 0.4745880 0.6918548    0.007472837   450 1.005342 1.011089
  9  0.5204497 0.10057186 0.29450468 0.5290805 0.7032928    0.002210504  2070 1.006082 1.018380
  10 0.4610452 0.12077742 0.17779177 0.4807280 0.6468051    0.004516819   715 1.001786 1.005238
  11 0.5841783 0.10387602 0.37231595 0.5832925 0.7868100    0.002501766  1724 1.005364 1.016026
  12 0.5998595 0.09534929 0.41423395 0.5957480 0.7911431    0.002440046  1527 1.003604 1.011095
  13 0.4899004 0.15767542 0.11400680 0.5179960 0.7478874    0.007594958   431 1.015917 1.037168
  14 0.5769673 0.09994923 0.37072887 0.5759795 0.7784042    0.002323772  1850 1.001045 1.003411
  15 0.4640762 0.11526320 0.20547165 0.4818840 0.6482072    0.003036398  1441 1.003107 1.008459
  16 0.5031708 0.10764837 0.25400587 0.5176605 0.6832602    0.003024260  1267 1.001187 1.001717
  17 0.6020373 0.09829607 0.41255305 0.5964440 0.8025968    0.002440679  1622 1.001358 1.004257
  18 0.6137630 0.10406030 0.41227525 0.6092315 0.8220414    0.002699452  1486 1.001369 1.002995
  19 0.5495405 0.09545959 0.34998153 0.5511050 0.7392240    0.002073739  2119 1.003014 1.008005
  20 0.5544003 0.09727769 0.35220583 0.5562950 0.7468957    0.002164400  2020 1.002095 1.005384
  21 0.5645424 0.09611957 0.36949937 0.5637140 0.7578531    0.001969019  2383 1.001798 1.004294
  22 0.5176904 0.12047371 0.23642782 0.5321660 0.7231941    0.004103351   862 1.002769 1.007281
  23 0.4279404 0.12968124 0.14542893 0.4474480 0.6306042    0.005311950   596 1.004877 1.013768
  24 0.4881685 0.10198095 0.25563655 0.5013415 0.6578264    0.002726529  1399 1.003547 1.010705
Parameter  po_A 
    Statistic
ID        Mean         SD      2.5%       50%     97.5% Time-series SE n.eff     Rhat    R_95%
  1  0.5031152 0.14635583 0.2294711 0.4978870 0.8040508    0.004670402   982 1.015018 1.042214
  2  0.6519211 0.13918588 0.3640153 0.6599160 0.8988074    0.003767288  1365 1.000643 1.001703
  3  0.5176583 0.12628446 0.2564123 0.5237995 0.7444829    0.002745314  2116 1.000257 1.000661
  4  0.8070585 0.09633965 0.5958015 0.8164500 0.9610490    0.002066214  2174 1.002324 1.006242
  5  0.7300499 0.12415403 0.4499276 0.7432745 0.9350992    0.003117520  1586 1.002691 1.004856
  6  0.6571197 0.11140599 0.4201636 0.6639700 0.8584598    0.002420154  2119 1.005722 1.017249
  7  0.8684510 0.07254181 0.7013120 0.8796355 0.9760291    0.001631080  1978 1.002253 1.005920
  8  0.5092306 0.15965116 0.2011644 0.5104400 0.8100908    0.005155405   959 1.005693 1.014742
  9  0.7821177 0.09267388 0.5846432 0.7887355 0.9402592    0.001741449  2832 1.002722 1.008431
  10 0.7939732 0.10880857 0.5614430 0.8033495 0.9731286    0.002644445  1693 1.001557 1.003576
  11 0.8176689 0.10006978 0.6043932 0.8261945 0.9805563    0.002401751  1736 1.002027 1.005614
  12 0.5603754 0.11516316 0.3267959 0.5641840 0.7764227    0.002545392  2047 1.002194 1.005972
  13 0.5843271 0.13167687 0.3162639 0.5876405 0.8269545    0.003988377  1090 1.008401 1.025518
  14 0.6601172 0.13613837 0.3767783 0.6674100 0.9070539    0.003149024  1869 1.003557 1.011100
