Article,Year,Volume,Issue,Domain,Experiment,n_YA,n_OA,DV,Analysis,measure of latent process,fit model,Level of Fit,Framework,Notes,DOI
"Lien, Gemperle, Ruthruff. (2011). Aging and involuntary attention capture: electrophysiological evidence for preserved attentional control with advanced age. Psychology and Aging, 26(1).",2011,26,1,Visual search,1,18,19,RT; errors; ERP,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021073
"Lien, Gemperle, Ruthruff. (2011). Aging and involuntary attention capture: electrophysiological evidence for preserved attentional control with advanced age. Psychology and Aging, 26(1).",2011,26,1,Visual search,2,20,19,RT; errors; ERP,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021073
"Gow, Johnson, Pattie, Brett, Roberts, Starr, Deary. (2011). Stability and change in intelligence from age 11 to ages 70, 79, and 87: the Lothian Birth Cohorts of 1921 and 1936. Psychology and Aging, 26(1).",2011,26,1,IQ,1,See notes,See notes,Scores on standardized cognitive tests,growth curve model,0,0,NA,Frequentist,various Ns depending on study wave and measure,10.1037/a0021072
"Nagamatsu, Voss, Neider, Gaspar, Handy, Kramer, Liu-Ambrose. (2011). Increased cognitive load leads to impaired mobility decisions in seniors at risk for falls. Psychology and Aging, 26(2).",2011,26,2,Dual tasking,1,0,33,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022929
"Neider, Gaspar, McCarley, Crowell, Kaczmarski, Kramer. (2011). Walking and talking: dual-task effects on street crossing behavior in older adults. Psychology and Aging, 26(2).",2011,26,2,Dual tasking; street crossing in VR,1,18,18,Success rate,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021566
"Clark, Dombrovski, Siegle, Butters, Shollenberger, Sahakian, Szanto. (2011). Impairment in risk-sensitive decision-making in older suicide attempters with depression. Psychology and Aging, 26(2).",2011,26,2,Gambling task,1,0,98,Quality of decision making; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021646
"Batterham, Mackinnon, Christensen. (2011). The effect of education on the onset and rate of terminal decline. Psychology and Aging, 26(2).",2011,26,2,Speed; episodic memory; global cognitive function,NA,See notes,See notes,Standardized scores,ANOVA; regression,0,0,NA,Frequentist,study began with 896 > 70 year olds and looked at death over 12 years,10.1037/a0021845
"Ram, Gerstorf, Lindenberger, Smith. (2011). Developmental change and intraindividual variability: relating cognitive aging to cognitive plasticity, cardiovascular lability, and emotional diversity. Psychology and Aging, 26(2).",2011,26,2,Speed,1,0,36,Standardized scores,correlation; regression,0,0,NA,Frequentist,NA,10.1037/a0021500
"Bannerman, Regener, Sahraie. (2011). Binocular rivalry: a window into emotional processing in aging. Psychology and Aging, 26(2).",2011,26,2,Face processing,1,30,30,Amount of time seeing face/house in binocular rivalry task,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022029
"Emery, Hess. (2011). Cognitive consequences of expressive regulation in older adults. Psychology and Aging, 26(2).",2011,26,2,Memory,1,51,57,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0020041
"Anderson, Reinholz, Kuhl, Mayr. (2011). Intentional suppression of unwanted memories grows more difficult as we age. Psychology and Aging, 26(2).",2011,26,2,Memory,1,32,32,Trials to learning criterion; proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022505
"Anderson, Reinholz, Kuhl, Mayr. (2011). Intentional suppression of unwanted memories grows more difficult as we age. Psychology and Aging, 26(2).",2011,26,2,Memory,2,32,32,Trials to learning criterion; proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022505
"Guerreiro, Van Gerven. (2011). Now you see it, now you don't: evidence for age-dependent and age-independent cross-modal distraction. Psychology and Aging, 26(2).",2011,26,2,selective attention,1,30,30,RT; Accuracy,ANOVA,0,0,NA,Frequentist,N-back task; different conditions with same participants are presented as different experiments. Not separated here,10.1037/a0021507
"Caplan, Dede, Waters, Michaud, Tripodis. (2011). Effects of age, speed of processing, and working memory on comprehension of sentences with relative clauses. Psychology and Aging, 26(2).",2011,26,2,Sentence comprehension; relation to speed and working memory,1,See notes,See notes,Span; proportion correct,Correlation; ANOVA; regression,0,0,NA,Frequentist,N=200; 50 in 4 age groups each. Completed two experiments not separated here,10.1037/a0021837
"Maintenant, Blaye, Paour. (2011). Semantic categorical flexibility and aging: effect of semantic relations on maintenance and switching. Psychology and Aging, 26(2).",2011,26,2,Categorization,1,61,60,Number of trials to reach criterion,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021686
"Gross, Rebok. (2011). Memory training and strategy use in older adults: results from the ACTIVE study. Psychology and Aging, 26(3).",2011,26,3,Memory training,1,0,1401,Strategy clustering scores; proportion recalled,SEM,0,0,NA,Frequentist,NA,10.1037/a0022687
"Parisi, Gross, Rebok, Saczynski, Crowe, Cook, Langbaum, Sartori, Unverzagt. (2011). Modeling change in memory performance and memory perceptions: findings from the ACTIVE study. Psychology and Aging, 26(3).",2011,26,3,Memory,1,0,2802,Standardized scores; subjective functioning (MFQ),Latent growth curve models,0,0,NA,Frequentist,participants randomized into 1 of 3 conditions,10.1037/a0022458
"Henkel, Rajaram. (2011). Collaborative remembering in older adults: age-invariant outcomes in the context of episodic recall deficits. Psychology and Aging, 26(3).",2011,26,3,Memory,1,96,96,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023106
"Infurna, Gerstorf, Ryan, Smith. (2011). Dynamic links between memory and functional limitations in old age: longitudinal evidence for age-based structural dynamics from the AHEAD study. Psychology and Aging, 26(3).",2011,26,3,Memory,1,0,6990,Proportion recalled,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0023023
"Bielak, Gerstorf, Kiely, Anstey, Luszcz. (2011). Depressive symptoms predict decline in perceptual speed in older adulthood. Psychology and Aging, 26(3).",2011,26,3,Processing speed,1,See notes,See notes,Number of items coded in 90s on digit-symbol substitution,Latent growth curve models,0,0,NA,Frequentist,various Ns depending on study wave and measure,10.1037/a0023313
"Sander, Werkle-Bergner, Lindenberger. (2011). Binding and strategic selection in working memory: a lifespan dissociation. Psychology and Aging, 26(3).",2011,26,3,Working memory,1,40,39,"hits, false-alarms, k",MPT,1,1,Individual,Frequentist,Also 34 children. They actually used the wrong MPT model for their task (they used whole display probe change detection and used model for single probe). A subset of participants were reused in a second experiment,10.1037/a0023055
"Rosa, Gutchess. (2011). Source memory for action in young and older adults: self vs. close or unknown others. Psychology and Aging, 26(3).",2011,26,3,Memory,1,44,46,Proportion of items with correct source,ANOVA,0,0,NA,Frequentist,some attempt to correct for guessing,10.1037/a0022827
"Halamish, McGillivray, Castel. (2011). Monitoring one's own forgetting in younger and older adults. Psychology and Aging, 26(3).",2011,26,3,Memory,1,20,20,Proportion recalled; judgements of number of items forgotten,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022852
"Hamami, Serbun, Gutchess. (2011). Self-referencing enhances memory specificity with age. Psychology and Aging, 26(3).",2011,26,3,Memory,1,32,32,"Scores based on recognition performance that look to be getting at underlying cognitive constructs (Kensinger et al., 2007; Payne, Stickgold, Swanberg, & Kensinger, 2008).)",ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022626
"Hamami, Serbun, Gutchess. (2011). Self-referencing enhances memory specificity with age. Psychology and Aging, 26(3).",2011,26,3,Memory,2,27,27,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022626
"Hertzog, Touron. (2011). Age differences in memory retrieval shift: governed by feeling-of-knowing? Psychology and Aging, 26(3).",2011,26,3,Memory,1,73,79,recognition accuracy; FOK judgements; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0021875
"Maddox, Balota, Coane, Duchek. (2011). The role of forgetting rate in producing a benefit of expanded over equal spaced retrieval in young and older adults. Psychology and Aging, 26(3).",2011,26,3,Memory,1,30,30,Proportion correct; proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022942
"Maddox, Balota, Coane, Duchek. (2011). The role of forgetting rate in producing a benefit of expanded over equal spaced retrieval in young and older adults. Psychology and Aging, 26(3).",2011,26,3,Memory,2,42,36,Proportion correct; proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022942
"Craik, Schloerscheidt. (2011). Age-related differences in recognition memory: effects of materials and context change. Psychology and Aging, 26(3).",2011,26,3,Memory,1.1,25,25,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022203
"Craik, Schloerscheidt. (2011). Age-related differences in recognition memory: effects of materials and context change. Psychology and Aging, 26(3).",2011,26,3,Memory,1.2,32,32,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022203
"Craik, Schloerscheidt. (2011). Age-related differences in recognition memory: effects of materials and context change. Psychology and Aging, 26(3).",2011,26,3,Memory,2,16,16,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022203
"Kim, Giovanello. (2011). The effects of attention on age-related relational memory deficits: evidence from a novel attentional manipulation. Psychology and Aging, 26(3).",2011,26,3,Memory,1,36,0,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022326
"Kim, Giovanello. (2011). The effects of attention on age-related relational memory deficits: evidence from a novel attentional manipulation. Psychology and Aging, 26(3).",2011,26,3,Memory,1,48,12,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022326
"Badham, Maylor. (2011). Age-related associative deficits are absent with nonwords. Psychology and Aging, 26(3).",2011,26,3,Memory,1,24,24,d’; ln(beta) for bias,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0022205
"Hildebrandt, Wilhelm, Schmiedek, Herzmann, Sommer. (2011). On the specificity of face cognition compared with general cognitive functioning across adult age. Psychology and Aging, 26(3).",2011,26,3,Face processing,1,See notes,See notes,Accuracy; RT,SEM,0,0,NA,Frequentist,N=448 aged 18-82. Lots of measures,10.1037/a0023056
"Wurm. (2011). Decreasing complexity of affective space in older adults lower on cognitive control: affective effects in a nonaffective task and with nonaffective stimuli. Psychology and Aging, 26(3).",2011,26,3,Lexical access,1,36,36,RT (log transformed),Multi-level model,0,0,NA,Frequentist,NA,10.1037/a0022513
"Wurm. (2011). Decreasing complexity of affective space in older adults lower on cognitive control: affective effects in a nonaffective task and with nonaffective stimuli. Psychology and Aging, 26(3).",2011,26,3,Lexical access,2,56,54,RT (log transformed),Multi-level model,0,0,NA,Frequentist,NA,10.1037/a0022513
"Smith. (2011). Providing support for distinctive processing: the isolation effect in young and older adults. Psychology and Aging, 26(3).",2011,26,3,Memory,1,136,120,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022715
"Smith. (2011). Providing support for distinctive processing: the isolation effect in young and older adults. Psychology and Aging, 26(3).",2011,26,3,Memory,2,32,38,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0022715
"West, Hastings. (2011). Self-regulation and recall: growth curve modeling of intervention outcomes for older adults. Psychology and Aging, 26(4).",2011,26,4,Memory,1,0,136,Text recall,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0023784
"Richmond, Morrison, Chein, Olson. (2011). Working memory training and transfer in older adults. Psychology and Aging, 26(4).",2011,26,4,Working memory,1,0,40,Span,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023631
"Batterham, Christensen, Mackinnon. (2011). Comparison of age and time-to-death in the dedifferentiation of late-life cognitive abilities. Psychology and Aging, 26(4).",2011,26,4,Various domains,1,0,896,Raw scores,SEM,0,0,NA,Frequentist,NA,10.1037/a0023300
"Kremen, Panizzon, Xian, Barch, Franz, Grant, Toomey, Lyons. (2011). Genetic architecture of context processing in late middle age: more than one underlying mechanism. Psychology and Aging, 26(4).",2011,26,4,cognitive control,1,0,1237,d’,SEM,1,0,NA,Frequentist,main measure is the AX-CPT task,10.1037/a0025098
"Mascherek, Zimprich. (2011). Correlated change in memory complaints and memory performance across 12 years. Psychology and Aging, 26(4).",2011,26,4,Memory,1,0,500,recall scores; subjective memory questionnaires,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0023156
"Cooper, Odegard. (2011). Attention and the acquisition of new knowledge: their effects on older adults' associative memory deficit. Psychology and Aging, 26(4).",2011,26,4,Memory,1,72,23,hits minus false-alarms,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0023628
"Deffler, Halpern. (2011). Contextual information and memory for unfamiliar tunes in older and younger adults. Psychology and Aging, 26(4).",2011,26,4,Memory,1,28,27,d’,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0023372
"Toth, Daniels, Solinger. (2011). What you know can hurt you: effects of age and prior knowledge on the accuracy of judgments of learning. Psychology and Aging, 26(4).",2011,26,4,Memory; Metamemory,1,36,36,RKN judgements; familiarity; recollection; JOL,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0023379
"Murray, Muscatell, Kensinger. (2011). Effects of emotion and age on performance during a think/no-think memory task. Psychology and Aging, 26(4).",2011,26,4,Memory,1,26,24,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023214
"Murray, Muscatell, Kensinger. (2011). Effects of emotion and age on performance during a think/no-think memory task. Psychology and Aging, 26(4).",2011,26,4,Memory,2,41,37,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023214
"Murray, Muscatell, Kensinger. (2011). Effects of emotion and age on performance during a think/no-think memory task. Psychology and Aging, 26(4).",2011,26,4,Memory,3,20,20,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023214
"Murray, Muscatell, Kensinger. (2011). Effects of emotion and age on performance during a think/no-think memory task. Psychology and Aging, 26(4).",2011,26,4,Memory,4,22,0,Proportion recalled,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023214
"Jacoby, Rogers, Bishara, Shimizu. (2012). Mistaking the recent past for the present: false seeing by older adults. Psychology and Aging, 27(1).",2012,27,1,Perception/memory,1,28,28,Proportion false alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025924
"Jacoby, Rogers, Bishara, Shimizu. (2012). Mistaking the recent past for the present: false seeing by older adults. Psychology and Aging, 27(1).",2012,27,1,Perception/memory,2,28,28,Proportion false alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025924
"Jacoby, Rogers, Bishara, Shimizu. (2012). Mistaking the recent past for the present: false seeing by older adults. Psychology and Aging, 27(1).",2012,27,1,Perception/memory,3,16,16,Proportion false alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025924
"Rogers, Jacoby, Sommers. (2012). Frequent false hearing by older adults: the role of age differences in metacognition. Psychology and Aging, 27(1).",2012,27,1,Auditory perception,1,16,16,Proportion false alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0026231
"Rogers, Jacoby, Sommers. (2012). Frequent false hearing by older adults: the role of age differences in metacognition. Psychology and Aging, 27(1).",2012,27,1,Auditory perception,2,25,25,Proportion false alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0026231
"Scullin, Bugg, McDaniel. (2012). Whoops, I did it again: commission errors in prospective memory. Psychology and Aging, 27(1).",2012,27,1,Prospective memory,1,73,72,Hits; errors,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0026112
"Edmonds, Glisky, Bartlett, Rapcsak. (2012). Cognitive mechanisms of false facial recognition in older adults. Psychology and Aging, 27(1).",2012,27,1,face recognition,1,40,40,Hits; false-alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0024582
"Rozek, Kemper, McDowd. (2012). Learning to ignore distracters. Psychology and Aging, 27(1).",2012,27,1,Word recognition,1,45,38,Hits; false-alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025578
"Fraundorf, Watson, Benjamin. (2012). The effects of age on the strategic use of pitch accents in memory for discourse: a processing-resource account. Psychology and Aging, 27(1).",2012,27,1,Memory,1,48,48,Recognition accuracy,GLMEM,0,0,NA,Frequentist,NA,10.1037/a0024138
"Fraundorf, Watson, Benjamin. (2012). The effects of age on the strategic use of pitch accents in memory for discourse: a processing-resource account. Psychology and Aging, 27(1).",2012,27,1,Memory,2,56,0,Recognition accuracy,GLMEM,0,0,NA,Frequentist,NA,10.1037/a0024138
"Passow, Westerhausen, Wartenburger, Hugdahl, Heekeren, Lindenberger, Li. (2012). Human aging compromises attentional control of auditory perception. Psychology and Aging, 27(1).",2012,27,1,Auditory perception,1,24,40,Percentage reported,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025667
"Jackson, Balota. (2012). Mind-wandering in younger and older adults: converging evidence from the Sustained Attention to Response Task and reading for comprehension. Psychology and Aging, 27(1).",2012,27,1,Sustained attention; mind wandering,1,54,62,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023933
"Jackson, Balota. (2012). Mind-wandering in younger and older adults: converging evidence from the Sustained Attention to Response Task and reading for comprehension. Psychology and Aging, 27(1).",2012,27,1,Sustained attention; mind wandering,2,32,38,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023933
"Jackson, Balota. (2012). Mind-wandering in younger and older adults: converging evidence from the Sustained Attention to Response Task and reading for comprehension. Psychology and Aging, 27(1).",2012,27,1,Sustained attention; mind wandering,3,31,49,Accuracy; RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023933
"Jackson, Balota. (2012). Mind-wandering in younger and older adults: converging evidence from the Sustained Attention to Response Task and reading for comprehension. Psychology and Aging, 27(1).",2012,27,1,Sustained attention; mind wandering,4,32,38,Reading rate; comprehension,T-tests,0,0,NA,Frequentist,NA,10.1037/a0023933
"Glass, Chotibut, Pacheco, Schnyer, Maddox. (2012). Normal aging and the dissociable prototype learning systems. Psychology and Aging, 27(1).",2012,27,1,Learning,1,54,56,Accuracy,Computational model (prototype model),1,1,Individual,Frequentist,max lik,10.1037/a0024971
"Rolison, Hanoch, Wood. (2012). Risky decision making in younger and older adults: the role of learning. Psychology and Aging, 27(1).",2012,27,1,Decision making,1,40,44,Responses on balloon analogue risk task,Cognitive models of risk taking behavior,1,1,Individual,Frequentist,max lik,10.1037/a0024689
"Badham, Estes, Maylor. (2012). Integrative and semantic relations equally alleviate age-related associative memory deficits. Psychology and Aging, 27(1).",2012,27,1,Memory,1,0,18,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023924
"Badham, Estes, Maylor. (2012). Integrative and semantic relations equally alleviate age-related associative memory deficits. Psychology and Aging, 27(1).",2012,27,1,Memory,2,36,36,Cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023924
"Bielak, Anstey, Christensen, Windsor. (2012). Activity engagement is related to level, but not change in cognitive ability across adulthood. Psychology and Aging, 27(1).",2012,27,1,Various domains,1,See notes,See notes,Raw scores,MLM,0,0,NA,Frequentist,"N=7152 split into groups 20-24, 40-44, 60-64 at baseline. Followed for 8 years",10.1037/a0024667
"Batterham, Mackinnon, Christensen. (2012). The association between change in cognitive ability and cause-specific mortality in a community sample of older adults. Psychology and Aging, 27(1).",2012,27,1,Various domains,1,0,592,Raw scores,Latent growth curve models,0,0,NA,Frequentist,NA,10.1037/a0024517
"Schryer, Ross. (2012). Evaluating the valence of remembered events: the importance of age and self-relevance. Psychology and Aging, 27(1).",2012,27,1,Autobiographical memory,1,25,22,Rating valence of memory,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023283
"Schryer, Ross. (2012). Evaluating the valence of remembered events: the importance of age and self-relevance. Psychology and Aging, 27(1).",2012,27,1,Autobiographical memory,2,47,48,Rating valence of memory,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0023283
"Gow, Corley, Starr, Deary. (2012). Reverse causation in activity-cognitive ability associations: the Lothian Birth Cohort 1936. Psychology and Aging, 27(1).",2012,27,1,Various domains,1,0,1091,Raw scores,correlation,0,0,NA,Frequentist,NA,10.1037/a0024144
"Maxfield, Pyszczynski, Greenberg, Pepin, Davis. (2012). The moderating role of executive functioning in older adults' responses to a reminder of mortality. Psychology and Aging, 27(1).",2012,27,1,Executive functioning,1,70,79,Raw scores on various tasks,ANOVA; correlations,0,0,NA,Frequentist,NA,10.1037/a0023902
"Jackson, Hill, Payne, Roberts, Stine-Morrow. (2012). Can an old dog learn (and want to experience) new tricks? Cognitive training increases openness to experience in older adults. Psychology and Aging, 27(2).",2012,27,2,Cognitive training,1,0,183,Composite score,Latent growth curve models,0,0,NA,Frequentist,inductive reasoning task,10.1037/a0025918
"Sartori, Wadley, Clay, Parisi, Rebok, Crowe. (2012). The relationship between cognitive function and life space: the potential role of personal control beliefs. Psychology and Aging, 27(2).",2012,27,2,Various domains,1,0,2737,Raw scores,Multiple regression,0,0,NA,Frequentist,NA,10.1037/a0025212
"Thorvaldsson, Skoog, Hofer, Börjesson-Hanson, Ostling, Sacuiu, Johansson. (2012). Nonlinear blood pressure effects on cognition in old age: separating between-person and within-person associations. Psychology and Aging, 27(2).",2012,27,2,Various domains,1,0,392,Raw scores,MLM,0,0,NA,Frequentist,NA,10.1037/a0025631
"Linnet, Roser. (2012). Age-related differences in interhemispheric visuomotor integration measured by the redundant target effect. Psychology and Aging, 27(2).",2012,27,2,Visuomotor integration,1,29,23,RT,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0024905
"Zendel, Alain. (2012). Musicians experience less age-related decline in central auditory processing. Psychology and Aging, 27(2).",2012,27,2,Auditory processing,1,See notes,See notes,Detection thresholds,Regression; correlation,0,0,NA,Frequentist,"163 (74 musicians, 89 not) aged 18-91",10.1037/a0024816
"Benjamin, Diaz, Matzen, Johnson. (2012). Tests of the DRYAD theory of the age-related deficit in memory for context: not about context, and not about aging. Psychology and Aging, 27(2).",2012,27,2,Memory,1,29,27,d’,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0024786
"Benjamin, Diaz, Matzen, Johnson. (2012). Tests of the DRYAD theory of the age-related deficit in memory for context: not about context, and not about aging. Psychology and Aging, 27(2).",2012,27,2,Memory,2,66,35,d_a,UEVSDT then ANOVA,1,1,Individual,Frequentist,confidence rating procedure to better estimate d,10.1037/a0024786
"Benjamin, Diaz, Matzen, Johnson. (2012). Tests of the DRYAD theory of the age-related deficit in memory for context: not about context, and not about aging. Psychology and Aging, 27(2).",2012,27,2,Memory,3,47,0,hits and false-alarms as a function of lag,ANOVA,0,0,NA,Frequentist,"these three experiments are testing the predictions of a cog model, DRYAD",10.1037/a0024786
"Cyr, Anderson. (2012). Trial-and-error learning improves source memory among young and older adults. Psychology and Aging, 27(2).",2012,27,2,Memory,1,35,39,recognition accuracy; measures of recollection and familiarity using inclusion/exclusion,ANOVA,1,0,NA,Frequentist,NA,10.1037/a0025115
"Cyr, Anderson. (2012). Trial-and-error learning improves source memory among young and older adults. Psychology and Aging, 27(2).",2012,27,2,Memory,2,15,15,False-alarms,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025115
"Volz-Sidiropoulou, Gauggel. (2012). Do subjective measures of attention and memory predict actual performance? Metacognition in older couples. Psychology and Aging, 27(2).",2012,27,2,Attention; memory; metacognition,1,0,84,Raw scores,Regression; correlation,0,0,NA,Frequentist,looked at discrepancy (residual) between objective and subjective (spouse rated) scores,10.1037/a0025384
"Shing, Schmiedek, Lövdén, Lindenberger. (2012). Memory updating practice across 100 days in the COGITO study. Psychology and Aging, 27(2).",2012,27,2,Memory,1,101,103,Memory updating accuracy,Latent difference score model,0,0,NA,Frequentist,NA,10.1037/a0025568
"Old, Naveh-Benjamin. (2012). Age differences in memory for names: the effect of prelearned semantic associations. Psychology and Aging, 27(2).",2012,27,2,Memory,1,24,24,Proportion correct,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025194
"Old, Naveh-Benjamin. (2012). Age differences in memory for names: the effect of prelearned semantic associations. Psychology and Aging, 27(2).",2012,27,2,Memory,2,25,24,Cued recall accuracy,ANOVA,0,0,NA,Frequentist,NA,10.1037/a0025194
